N: 20; d: 20
Valid 13: 0.82043 	 r2: 0.24901
Train 14: 0.85597 	 r2: 0.31614
Valid 14: 0.81867 	 r2: 0.24183
Train 15: 0.85681 	 r2: 0.31804
Valid 15: 0.81746 	 r2: 0.24741
Train 16: 0.86080 	 r2: 0.32700
Valid 16: 0.82043 	 r2: 0.25050
Finish: (0.820848003393876, 0.2517315675925922)
Test 17: 0.83344 	 r2: 0.26626
Train 1: 0.55507 	 r2: -0.29013
Valid 1: 0.75327 	 r2: 0.10464
Train 2: 0.77422 	 r2: 0.17989
Valid 2: 0.76088 	 r2: 0.15849
Train 3: 0.79350 	 r2: 0.21002
Valid 3: 0.76408 	 r2: 0.17185
Train 4: 0.79849 	 r2: 0.21892
Valid 4: 0.76978 	 r2: 0.17962
Train 5: 0.80701 	 r2: 0.23060
Valid 5: 0.78089 	 r2: 0.19368
Train 6: 0.81854 	 r2: 0.24777
Valid 6: 0.79099 	 r2: 0.20722
Train 7: 0.82600 	 r2: 0.25971
Valid 7: 0.79745 	 r2: 0.21540
Train 8: 0.83173 	 r2: 0.26871
Valid 8: 0.80378 	 r2: 0.22365
Train 9: 0.83772 	 r2: 0.27890
Valid 9: 0.81087 	 r2: 0.23127
Train 10: 0.84348 	 r2: 0.28972
Valid 10: 0.81793 	 r2: 0.24592
Train 11: 0.84799 	 r2: 0.29927
Valid 11: 0.81912 	 r2: 0.24971
Train 12: 0.85186 	 r2: 0.30800
Valid 12: 0.81986 	 r2: 0.25112
Train 13: 0.85462 	 r2: 0.31437
Valid 13: 0.81953 	 r2: 0.24972
Train 14: 0.85701 	 r2: 0.31994
Valid 14: 0.81929 	 r2: 0.24837
Train 15: 0.85896 	 r2: 0.32460
Valid 15: 0.81881 	 r2: 0.24676
Train 16: 0.86071 	 r2: 0.32877
Valid 16: 0.81823 	 r2: 0.24458
Train 17: 0.86218 	 r2: 0.33225
Valid 17: 0.81725 	 r2: 0.24069
Finish: (0.8198637936005039, 0.2511226956973983)
Test 18: 0.83185 	 r2: 0.26473
Train 1: 0.58586 	 r2: -0.06361
Valid 1: 0.75297 	 r2: 0.12149
Train 2: 0.77824 	 r2: 0.18707
Valid 2: 0.76142 	 r2: 0.16348
Train 3: 0.79437 	 r2: 0.21152
