N: 20; d: 20
Train 6: 0.80831 	 r2: 0.23366
Valid 6: 0.79965 	 r2: 0.21180
Train 7: 0.80995 	 r2: 0.23707
Valid 7: 0.79888 	 r2: 0.21055
Train 8: 0.81117 	 r2: 0.23999
Valid 8: 0.79834 	 r2: 0.20716
Train 9: 0.81239 	 r2: 0.24260
Valid 9: 0.79759 	 r2: 0.20815
Train 10: 0.81362 	 r2: 0.24553
Valid 10: 0.79617 	 r2: 0.20367
Finish: (0.7996552947068652, 0.2128582584850618)
Test 11: 0.80554 	 r2: 0.22242
Train 1: 0.75979 	 r2: 0.14365
Valid 1: 0.79053 	 r2: 0.19244
Train 2: 0.79653 	 r2: 0.20869
Valid 2: 0.79946 	 r2: 0.21190
Train 3: 0.80315 	 r2: 0.22254
Valid 3: 0.80085 	 r2: 0.21538
Train 4: 0.80652 	 r2: 0.22898
Valid 4: 0.80099 	 r2: 0.21575
Train 5: 0.80872 	 r2: 0.23369
Valid 5: 0.80042 	 r2: 0.21431
Train 6: 0.81048 	 r2: 0.23740
Valid 6: 0.79975 	 r2: 0.21375
Train 7: 0.81201 	 r2: 0.24075
Valid 7: 0.79902 	 r2: 0.21141
Train 8: 0.81354 	 r2: 0.24376
Valid 8: 0.79863 	 r2: 0.21088
Train 9: 0.81452 	 r2: 0.24589
Valid 9: 0.79748 	 r2: 0.20778
Finish: (0.8009927837265409, 0.21575476346648148)
Test 10: 0.80777 	 r2: 0.22762
Train 1: 0.74033 	 r2: 0.08902
Valid 1: 0.77722 	 r2: 0.16536
Train 2: 0.79147 	 r2: 0.19937
Valid 2: 0.79672 	 r2: 0.20461
Train 3: 0.80156 	 r2: 0.21920
Valid 3: 0.79888 	 r2: 0.21109
Train 4: 0.80488 	 r2: 0.22620
Valid 4: 0.79906 	 r2: 0.21136
Train 5: 0.80715 	 r2: 0.23086
Valid 5: 0.79881 	 r2: 0.21118
Train 6: 0.80885 	 r2: 0.23449
Valid 6: 0.79841 	 r2: 0.20937
Train 7: 0.81026 	 r2: 0.23739
Valid 7: 0.79694 	 r2: 0.20864
Train 8: 0.81163 	 r2: 0.24042
Valid 8: 0.79602 	 r2: 0.20325
Train 9: 0.81289 	 r2: 0.24282
Valid 9: 0.79433 	 r2: 0.20235
Finish: (0.7990604918860152, 0.2113592174879062)
Test 10: 0.80562 	 r2: 0.22301
Train 1: 0.74127 	 r2: 0.09643
Valid 1: 0.78278 	 r2: 0.17523
Train 2: 0.79384 	 r2: 0.20473
Valid 2: 0.79816 	 r2: 0.21107
Train 3: 0.80200 	 r2: 0.22175
Valid 3: 0.79964 	 r2: 0.21380
Train 4: 0.80518 	 r2: 0.22784
Valid 4: 0.79994 	 r2: 0.21358
