N: 1; d: 20
Valid 2: 0.77704 	 r2: 0.16298
Train 3: 0.78485 	 r2: 0.18407
Valid 3: 0.78485 	 r2: 0.17825
Train 4: 0.79163 	 r2: 0.19837
Valid 4: 0.78823 	 r2: 0.18695
Train 5: 0.79605 	 r2: 0.20824
Valid 5: 0.78993 	 r2: 0.19114
Train 6: 0.79894 	 r2: 0.21483
Valid 6: 0.79034 	 r2: 0.19253
Train 7: 0.80165 	 r2: 0.22072
Valid 7: 0.79078 	 r2: 0.19407
Train 8: 0.80380 	 r2: 0.22535
Valid 8: 0.79081 	 r2: 0.19330
Train 9: 0.80559 	 r2: 0.22897
Valid 9: 0.79040 	 r2: 0.19304
Train 10: 0.80697 	 r2: 0.23183
Valid 10: 0.79009 	 r2: 0.19285
Train 11: 0.80851 	 r2: 0.23521
Valid 11: 0.79026 	 r2: 0.19249
Train 12: 0.80966 	 r2: 0.23816
Valid 12: 0.78968 	 r2: 0.19072
Train 13: 0.81098 	 r2: 0.24063
Valid 13: 0.78894 	 r2: 0.18914
Finish: (0.7908068651706547, 0.1933012259140191)
Test 14: 0.79844 	 r2: 0.20846
N: 1; d: 40
Train 1: 0.71354 	 r2: 0.05778
Valid 1: 0.76366 	 r2: 0.13736
Train 2: 0.77574 	 r2: 0.16738
Valid 2: 0.78424 	 r2: 0.17524
Train 3: 0.79040 	 r2: 0.19539
Valid 3: 0.79035 	 r2: 0.18641
Train 4: 0.79756 	 r2: 0.21028
Valid 4: 0.79251 	 r2: 0.19367
Train 5: 0.80202 	 r2: 0.21975
Valid 5: 0.79289 	 r2: 0.19507
Train 6: 0.80542 	 r2: 0.22715
Valid 6: 0.79281 	 r2: 0.19525
Train 7: 0.80822 	 r2: 0.23303
Valid 7: 0.79202 	 r2: 0.19408
Train 8: 0.81075 	 r2: 0.23853
Valid 8: 0.79179 	 r2: 0.19311
Train 9: 0.81222 	 r2: 0.24200
Valid 9: 0.79066 	 r2: 0.19225
Train 10: 0.81424 	 r2: 0.24586
Valid 10: 0.79060 	 r2: 0.19091
Finish: (0.7928879168158763, 0.1950739905690465)
Test 11: 0.80029 	 r2: 0.20950
Train 1: 0.71205 	 r2: 0.05657
Valid 1: 0.76345 	 r2: 0.13686
Train 2: 0.77428 	 r2: 0.16432
Valid 2: 0.78116 	 r2: 0.16794
Train 3: 0.78899 	 r2: 0.19267
Valid 3: 0.78896 	 r2: 0.18859
Train 4: 0.79682 	 r2: 0.20944
Valid 4: 0.79199 	 r2: 0.19583
Train 5: 0.80161 	 r2: 0.22013
Valid 5: 0.79351 	 r2: 0.19826
Train 6: 0.80486 	 r2: 0.22720
Valid 6: 0.79313 	 r2: 0.19696
Train 7: 0.80683 	 r2: 0.23190
Valid 7: 0.79235 	 r2: 0.19633
Train 8: 0.80874 	 r2: 0.23641
Valid 8: 0.79162 	 r2: 0.19570
Train 9: 0.81124 	 r2: 0.24122
Valid 9: 0.79076 	 r2: 0.19355
Train 10: 0.81332 	 r2: 0.24602
Valid 10: 0.78912 	 r2: 0.19038
Finish: (0.7935062176922404, 0.19826192610515092)
Test 11: 0.80028 	 r2: 0.21115
Train 1: 0.71428 	 r2: 0.05853
Valid 1: 0.76500 	 r2: 0.14053
Train 2: 0.77504 	 r2: 0.16773
Valid 2: 0.78203 	 r2: 0.17152
Train 3: 0.79053 	 r2: 0.19632
Valid 3: 0.79029 	 r2: 0.18828
Train 4: 0.79809 	 r2: 0.21104
Valid 4: 0.79224 	 r2: 0.19316
Train 5: 0.80265 	 r2: 0.22087
Valid 5: 0.79261 	 r2: 0.19415
Train 6: 0.80595 	 r2: 0.22810
Valid 6: 0.79242 	 r2: 0.19351
Train 7: 0.80828 	 r2: 0.23348
Valid 7: 0.79186 	 r2: 0.19347
Train 8: 0.81078 	 r2: 0.23886
Valid 8: 0.79060 	 r2: 0.19088
Train 9: 0.81250 	 r2: 0.24280
Valid 9: 0.78935 	 r2: 0.18870
Train 10: 0.81457 	 r2: 0.24720
Valid 10: 0.78843 	 r2: 0.18752
Finish: (0.7926125396025225, 0.19415499501878597)
Test 11: 0.79961 	 r2: 0.20983
Train 1: 0.71397 	 r2: 0.06016
Valid 1: 0.76099 	 r2: 0.13467
Train 2: 0.77268 	 r2: 0.16234
Valid 2: 0.78013 	 r2: 0.16719
Train 3: 0.78788 	 r2: 0.19155
Valid 3: 0.78855 	 r2: 0.18603
Train 4: 0.79565 	 r2: 0.20785
Valid 4: 0.79200 	 r2: 0.19327
Train 5: 0.80069 	 r2: 0.21789
Valid 5: 0.79313 	 r2: 0.19652
Train 6: 0.80410 	 r2: 0.22513
Valid 6: 0.79298 	 r2: 0.19668
Train 7: 0.80669 	 r2: 0.23083
Valid 7: 0.79250 	 r2: 0.19581
Train 8: 0.80943 	 r2: 0.23615
Valid 8: 0.79182 	 r2: 0.19455
Train 9: 0.81147 	 r2: 0.24092
Valid 9: 0.78997 	 r2: 0.19061
Train 10: 0.81286 	 r2: 0.24424
Valid 10: 0.78910 	 r2: 0.18854
Finish: (0.7931336309478553, 0.19651840632752748)
Test 11: 0.79981 	 r2: 0.20995
Train 1: 0.71487 	 r2: 0.06048
Valid 1: 0.76457 	 r2: 0.13747
Train 2: 0.77522 	 r2: 0.16711
Valid 2: 0.78211 	 r2: 0.16935
Train 3: 0.78897 	 r2: 0.19376
Valid 3: 0.78703 	 r2: 0.18353
Train 4: 0.79595 	 r2: 0.20791
Valid 4: 0.78984 	 r2: 0.18830
Train 5: 0.80056 	 r2: 0.21740
Valid 5: 0.79151 	 r2: 0.19394
Train 6: 0.80423 	 r2: 0.22506
Valid 6: 0.79126 	 r2: 0.19350
Train 7: 0.80692 	 r2: 0.23112
Valid 7: 0.79057 	 r2: 0.19191
Train 8: 0.80900 	 r2: 0.23582
Valid 8: 0.79025 	 r2: 0.19090
Train 9: 0.81106 	 r2: 0.24014
Valid 9: 0.78991 	 r2: 0.18952
Train 10: 0.81309 	 r2: 0.24437
Valid 10: 0.78877 	 r2: 0.18707
Finish: (0.7915142484367245, 0.19394416009970483)
Test 11: 0.79918 	 r2: 0.20990
Train 1: 0.71433 	 r2: 0.05971
Valid 1: 0.76231 	 r2: 0.13297
Train 2: 0.77444 	 r2: 0.16264
Valid 2: 0.78296 	 r2: 0.16983
Train 3: 0.78991 	 r2: 0.19231
Valid 3: 0.78941 	 r2: 0.18616
Train 4: 0.79700 	 r2: 0.20872
Valid 4: 0.79184 	 r2: 0.19356
Train 5: 0.80181 	 r2: 0.21929
Valid 5: 0.79241 	 r2: 0.19502
Train 6: 0.80522 	 r2: 0.22650
Valid 6: 0.79288 	 r2: 0.19574
Train 7: 0.80791 	 r2: 0.23259
Valid 7: 0.79206 	 r2: 0.19406
Train 8: 0.81011 	 r2: 0.23742
Valid 8: 0.79069 	 r2: 0.19180
Train 9: 0.81205 	 r2: 0.24168
Valid 9: 0.79016 	 r2: 0.18997
Train 10: 0.81430 	 r2: 0.24641
Valid 10: 0.78889 	 r2: 0.18882
Train 11: 0.81618 	 r2: 0.25034
Valid 11: 0.78743 	 r2: 0.18603
Finish: (0.7928787788304256, 0.19574247692817237)
Test 12: 0.80014 	 r2: 0.21060
N: 1; d: 80
Train 1: 0.72483 	 r2: 0.07601
Valid 1: 0.77024 	 r2: 0.14368
Train 2: 0.78183 	 r2: 0.17836
Valid 2: 0.78709 	 r2: 0.18092
Train 3: 0.79395 	 r2: 0.20471
Valid 3: 0.78984 	 r2: 0.18727
Train 4: 0.80027 	 r2: 0.21827
Valid 4: 0.79043 	 r2: 0.19258
Train 5: 0.80415 	 r2: 0.22713
Valid 5: 0.79068 	 r2: 0.19432
Train 6: 0.80803 	 r2: 0.23523
Valid 6: 0.79007 	 r2: 0.19216
Train 7: 0.81051 	 r2: 0.24130
Valid 7: 0.78889 	 r2: 0.18622
Train 8: 0.81364 	 r2: 0.24803
Valid 8: 0.78675 	 r2: 0.18577
Train 9: 0.81685 	 r2: 0.25505
Valid 9: 0.78394 	 r2: 0.18015
Train 10: 0.81926 	 r2: 0.26047
Valid 10: 0.78288 	 r2: 0.17751
Finish: (0.7906808448781855, 0.19431974957861176)
Test 11: 0.79844 	 r2: 0.20960
Train 1: 0.72557 	 r2: 0.07721
Valid 1: 0.77088 	 r2: 0.14504
Train 2: 0.78201 	 r2: 0.17907
Valid 2: 0.78586 	 r2: 0.18090
Train 3: 0.79350 	 r2: 0.20382
Valid 3: 0.79096 	 r2: 0.19257
Train 4: 0.79961 	 r2: 0.21734
Valid 4: 0.79201 	 r2: 0.19444
Train 5: 0.80382 	 r2: 0.22669
Valid 5: 0.79060 	 r2: 0.19262
Train 6: 0.80691 	 r2: 0.23294
Valid 6: 0.79049 	 r2: 0.19330
Train 7: 0.81005 	 r2: 0.23997
Valid 7: 0.78984 	 r2: 0.19102
Train 8: 0.81292 	 r2: 0.24577
Valid 8: 0.78830 	 r2: 0.18895
Train 9: 0.81592 	 r2: 0.25222
Valid 9: 0.78694 	 r2: 0.18618
Finish: (0.7920073525638723, 0.19444150197459276)
Test 10: 0.79884 	 r2: 0.20866
Train 1: 0.72507 	 r2: 0.07542
Valid 1: 0.77342 	 r2: 0.15118
Train 2: 0.78366 	 r2: 0.18294
Valid 2: 0.78816 	 r2: 0.18411
Train 3: 0.79566 	 r2: 0.20823
Valid 3: 0.79167 	 r2: 0.19279
Train 4: 0.80232 	 r2: 0.22218
Valid 4: 0.79248 	 r2: 0.19384
Train 5: 0.80638 	 r2: 0.23083
Valid 5: 0.79207 	 r2: 0.19422
Train 6: 0.80968 	 r2: 0.23795
Valid 6: 0.79075 	 r2: 0.18971
Train 7: 0.81241 	 r2: 0.24386
Valid 7: 0.78906 	 r2: 0.18777
Train 8: 0.81493 	 r2: 0.24890
Valid 8: 0.78769 	 r2: 0.18611
Train 9: 0.81798 	 r2: 0.25508
Valid 9: 0.78452 	 r2: 0.17975
Finish: (0.7924793979643111, 0.19384313035205514)
Test 10: 0.79897 	 r2: 0.20782
Train 1: 0.72597 	 r2: 0.07800
Valid 1: 0.77104 	 r2: 0.14732
Train 2: 0.78078 	 r2: 0.17801
Valid 2: 0.78448 	 r2: 0.17500
Train 3: 0.79284 	 r2: 0.20322
Valid 3: 0.78982 	 r2: 0.19015
Train 4: 0.79959 	 r2: 0.21768
Valid 4: 0.79174 	 r2: 0.19452
Train 5: 0.80475 	 r2: 0.22790
Valid 5: 0.79158 	 r2: 0.19310
Train 6: 0.80805 	 r2: 0.23502
Valid 6: 0.78978 	 r2: 0.19024
Train 7: 0.81143 	 r2: 0.24166
Valid 7: 0.78882 	 r2: 0.18973
Train 8: 0.81466 	 r2: 0.24884
Valid 8: 0.78736 	 r2: 0.18539
Train 9: 0.81730 	 r2: 0.25461
Valid 9: 0.78476 	 r2: 0.18159
Finish: (0.7917373165806991, 0.1945202539484805)
Test 10: 0.79876 	 r2: 0.20801
Train 1: 0.72612 	 r2: 0.07870
Valid 1: 0.77280 	 r2: 0.14786
Train 2: 0.78367 	 r2: 0.18060
Valid 2: 0.78739 	 r2: 0.18299
Train 3: 0.79516 	 r2: 0.20537
Valid 3: 0.79078 	 r2: 0.19284
Train 4: 0.80078 	 r2: 0.21853
Valid 4: 0.79113 	 r2: 0.19420
Train 5: 0.80482 	 r2: 0.22791
Valid 5: 0.79133 	 r2: 0.19471
Train 6: 0.80828 	 r2: 0.23523
Valid 6: 0.78955 	 r2: 0.19146
Train 7: 0.81065 	 r2: 0.24117
Valid 7: 0.78719 	 r2: 0.18840
Train 8: 0.81304 	 r2: 0.24628
Valid 8: 0.78598 	 r2: 0.18554
Train 9: 0.81523 	 r2: 0.25106
Valid 9: 0.78493 	 r2: 0.18271
Train 10: 0.81842 	 r2: 0.25749
Valid 10: 0.78183 	 r2: 0.17742
Finish: (0.7913304084661448, 0.19471453480470147)
Test 11: 0.79822 	 r2: 0.20827
Train 1: 0.72531 	 r2: 0.07724
Valid 1: 0.76811 	 r2: 0.14160
Train 2: 0.78088 	 r2: 0.17713
Valid 2: 0.78690 	 r2: 0.17997
Train 3: 0.79413 	 r2: 0.20397
Valid 3: 0.79058 	 r2: 0.19142
Train 4: 0.80102 	 r2: 0.21868
Valid 4: 0.79227 	 r2: 0.19697
Train 5: 0.80523 	 r2: 0.22831
Valid 5: 0.79184 	 r2: 0.19579
Train 6: 0.80857 	 r2: 0.23558
Valid 6: 0.79029 	 r2: 0.19284
Train 7: 0.81149 	 r2: 0.24245
Valid 7: 0.78986 	 r2: 0.19121
Train 8: 0.81434 	 r2: 0.24878
Valid 8: 0.78713 	 r2: 0.18375
Train 9: 0.81703 	 r2: 0.25510
Valid 9: 0.78594 	 r2: 0.18096
Finish: (0.7922679290957455, 0.1969659349375802)
Test 10: 0.79898 	 r2: 0.20860
N: 1; d: 120
Train 1: 0.73137 	 r2: 0.08472
Valid 1: 0.77384 	 r2: 0.15371
Train 2: 0.78203 	 r2: 0.18023
Valid 2: 0.78669 	 r2: 0.18060
Train 3: 0.79429 	 r2: 0.20580
Valid 3: 0.78925 	 r2: 0.18804
Train 4: 0.80123 	 r2: 0.22041
Valid 4: 0.79129 	 r2: 0.19201
Train 5: 0.80556 	 r2: 0.22973
Valid 5: 0.78952 	 r2: 0.18848
Train 6: 0.81019 	 r2: 0.24022
Valid 6: 0.78808 	 r2: 0.18505
Train 7: 0.81356 	 r2: 0.24758
Valid 7: 0.78562 	 r2: 0.18146
Train 8: 0.81594 	 r2: 0.25315
Valid 8: 0.78373 	 r2: 0.17814
Train 9: 0.81887 	 r2: 0.25927
Valid 9: 0.78166 	 r2: 0.17208
Finish: (0.7912875767703864, 0.19201055374773035)
Test 10: 0.79739 	 r2: 0.20521
Train 1: 0.73080 	 r2: 0.08386
Valid 1: 0.77445 	 r2: 0.15274
Train 2: 0.78385 	 r2: 0.18334
