N: 20; d: 20
Valid 3: 0.77178 	 r2: 0.17908
Train 4: 0.81057 	 r2: 0.23525
Valid 4: 0.78444 	 r2: 0.18337
Train 5: 0.82088 	 r2: 0.25213
Valid 5: 0.79836 	 r2: 0.20890
Train 6: 0.83156 	 r2: 0.26907
Valid 6: 0.81510 	 r2: 0.24396
Train 7: 0.84092 	 r2: 0.28644
Valid 7: 0.81950 	 r2: 0.25151
Train 8: 0.84503 	 r2: 0.29449
Valid 8: 0.82053 	 r2: 0.25355
Train 9: 0.84850 	 r2: 0.30189
Valid 9: 0.82157 	 r2: 0.25490
Train 10: 0.85155 	 r2: 0.30846
Valid 10: 0.82194 	 r2: 0.25453
Train 11: 0.85400 	 r2: 0.31372
Valid 11: 0.82175 	 r2: 0.25316
Train 12: 0.85549 	 r2: 0.31702
Valid 12: 0.82168 	 r2: 0.25122
Train 13: 0.85401 	 r2: 0.31417
Valid 13: 0.81937 	 r2: 0.24045
Train 14: 0.85103 	 r2: 0.30685
Valid 14: 0.82116 	 r2: 0.25149
Train 15: 0.85792 	 r2: 0.32220
Valid 15: 0.82118 	 r2: 0.25219
Finish: (0.8219446039322071, 0.2545317399624557)
Test 16: 0.83422 	 r2: 0.26880
Train 1: 0.52082 	 r2: -0.27235
Valid 1: 0.72805 	 r2: 0.02599
Train 2: 0.75870 	 r2: 0.13515
Valid 2: 0.75970 	 r2: 0.15574
Train 3: 0.79109 	 r2: 0.20562
Valid 3: 0.76491 	 r2: 0.16295
Train 4: 0.79978 	 r2: 0.22058
Valid 4: 0.77347 	 r2: 0.17354
Train 5: 0.80891 	 r2: 0.23386
Valid 5: 0.78157 	 r2: 0.18338
Train 6: 0.81726 	 r2: 0.24653
Valid 6: 0.79554 	 r2: 0.19885
Train 7: 0.82702 	 r2: 0.26068
Valid 7: 0.81044 	 r2: 0.22857
Train 8: 0.83674 	 r2: 0.27792
Valid 8: 0.81595 	 r2: 0.24380
Train 9: 0.84358 	 r2: 0.29121
Valid 9: 0.81916 	 r2: 0.25057
Train 10: 0.84774 	 r2: 0.30000
Valid 10: 0.82005 	 r2: 0.25162
Train 11: 0.85043 	 r2: 0.30593
Valid 11: 0.82096 	 r2: 0.25376
Train 12: 0.85247 	 r2: 0.31041
Valid 12: 0.82115 	 r2: 0.25375
Train 13: 0.85398 	 r2: 0.31368
Valid 13: 0.82099 	 r2: 0.25270
Train 14: 0.85516 	 r2: 0.31629
Valid 14: 0.82082 	 r2: 0.25082
