N: 20; d: 20
Valid 3: 0.79628 	 r2: 0.21486
Train 4: 0.82848 	 r2: 0.26470
Valid 4: 0.79809 	 r2: 0.21703
Train 5: 0.83092 	 r2: 0.26922
Valid 5: 0.79904 	 r2: 0.21778
Train 6: 0.83271 	 r2: 0.27253
Valid 6: 0.80003 	 r2: 0.21845
Train 7: 0.83408 	 r2: 0.27517
Valid 7: 0.80112 	 r2: 0.21932
Train 8: 0.83598 	 r2: 0.27857
Valid 8: 0.80194 	 r2: 0.21913
Train 9: 0.83738 	 r2: 0.28133
Valid 9: 0.80320 	 r2: 0.22129
Train 10: 0.83883 	 r2: 0.28447
Valid 10: 0.80430 	 r2: 0.22270
Train 11: 0.84072 	 r2: 0.28844
Valid 11: 0.80553 	 r2: 0.22485
Train 12: 0.84270 	 r2: 0.29262
Valid 12: 0.80661 	 r2: 0.22555
Train 13: 0.84475 	 r2: 0.29699
Valid 13: 0.80759 	 r2: 0.22526
Train 14: 0.84722 	 r2: 0.30236
Valid 14: 0.80860 	 r2: 0.22502
Train 15: 0.85012 	 r2: 0.30866
Valid 15: 0.80915 	 r2: 0.22367
Train 16: 0.85226 	 r2: 0.31327
Valid 16: 0.80886 	 r2: 0.22325
Train 17: 0.85513 	 r2: 0.31922
Valid 17: 0.80828 	 r2: 0.21863
Train 18: 0.85731 	 r2: 0.32388
Valid 18: 0.80755 	 r2: 0.21559
Train 19: 0.85996 	 r2: 0.32958
Valid 19: 0.80701 	 r2: 0.20983
Train 20: 0.86181 	 r2: 0.33317
Valid 20: 0.80643 	 r2: 0.20365
Finish: (0.809154870051385, 0.22366728739294472)
Test 21: 0.82594 	 r2: 0.25006
Train 1: 0.58995 	 r2: -0.20371
Valid 1: 0.76229 	 r2: 0.11003
Train 2: 0.79343 	 r2: 0.20292
Valid 2: 0.78252 	 r2: 0.18775
Train 3: 0.81911 	 r2: 0.24863
Valid 3: 0.79502 	 r2: 0.21283
Train 4: 0.82687 	 r2: 0.26238
Valid 4: 0.79734 	 r2: 0.21633
Train 5: 0.83001 	 r2: 0.26792
Valid 5: 0.79883 	 r2: 0.21814
Train 6: 0.83232 	 r2: 0.27208
Valid 6: 0.80001 	 r2: 0.21935
Train 7: 0.83430 	 r2: 0.27569
Valid 7: 0.80132 	 r2: 0.22062
Train 8: 0.83622 	 r2: 0.27918
Valid 8: 0.80263 	 r2: 0.22188
Train 9: 0.83826 	 r2: 0.28311
Valid 9: 0.80399 	 r2: 0.22328
Train 10: 0.84034 	 r2: 0.28720
Valid 10: 0.80535 	 r2: 0.22469
Train 11: 0.84257 	 r2: 0.29158
Valid 11: 0.80676 	 r2: 0.22578
Train 12: 0.84483 	 r2: 0.29629
Valid 12: 0.80789 	 r2: 0.22679
Train 13: 0.84721 	 r2: 0.30109
Valid 13: 0.80856 	 r2: 0.22355
Train 14: 0.84856 	 r2: 0.30415
Valid 14: 0.80879 	 r2: 0.22430
Train 15: 0.85119 	 r2: 0.30960
Valid 15: 0.80899 	 r2: 0.22416
Train 16: 0.85357 	 r2: 0.31463
Valid 16: 0.80906 	 r2: 0.22292
Train 17: 0.85556 	 r2: 0.31896
Valid 17: 0.80897 	 r2: 0.22016
Train 18: 0.85744 	 r2: 0.32311
Valid 18: 0.80904 	 r2: 0.21846
Train 19: 0.85928 	 r2: 0.32735
Valid 19: 0.80890 	 r2: 0.21724
Train 20: 0.86109 	 r2: 0.33140
Valid 20: 0.80871 	 r2: 0.21584
Train 21: 0.86297 	 r2: 0.33582
Valid 21: 0.80807 	 r2: 0.21266
Finish: (0.8090620443233227, 0.22291919188382048)
Test 22: 0.82488 	 r2: 0.24539
N: 20; d: 40
Train 1: 0.72535 	 r2: 0.10247
Valid 1: 0.78255 	 r2: 0.17244
Train 2: 0.81502 	 r2: 0.24041
Valid 2: 0.79289 	 r2: 0.20625
Train 3: 0.82522 	 r2: 0.25880
Valid 3: 0.79652 	 r2: 0.20920
Train 4: 0.82994 	 r2: 0.26784
Valid 4: 0.79968 	 r2: 0.21402
Train 5: 0.83448 	 r2: 0.27660
Valid 5: 0.80247 	 r2: 0.21714
Train 6: 0.83898 	 r2: 0.28567
Valid 6: 0.80500 	 r2: 0.21992
Train 7: 0.84333 	 r2: 0.29462
Valid 7: 0.80680 	 r2: 0.22185
Train 8: 0.84759 	 r2: 0.30334
Valid 8: 0.80825 	 r2: 0.22296
Train 9: 0.85152 	 r2: 0.31161
Valid 9: 0.80879 	 r2: 0.22220
Train 10: 0.85521 	 r2: 0.31959
Valid 10: 0.80939 	 r2: 0.22156
Train 11: 0.85884 	 r2: 0.32752
Valid 11: 0.80892 	 r2: 0.21910
Train 12: 0.86239 	 r2: 0.33553
Valid 12: 0.80867 	 r2: 0.21764
Train 13: 0.86583 	 r2: 0.34336
Valid 13: 0.80755 	 r2: 0.21506
Train 14: 0.86903 	 r2: 0.35100
Valid 14: 0.80695 	 r2: 0.21147
Train 15: 0.87171 	 r2: 0.35800
Valid 15: 0.80616 	 r2: 0.20683
Finish: (0.8093879680062513, 0.22155782874563834)
Test 16: 0.82582 	 r2: 0.24842
Train 1: 0.74286 	 r2: 0.13454
Valid 1: 0.78378 	 r2: 0.17715
Train 2: 0.81421 	 r2: 0.23936
Valid 2: 0.79225 	 r2: 0.20549
Train 3: 0.82503 	 r2: 0.25889
Valid 3: 0.79493 	 r2: 0.20571
Train 4: 0.82836 	 r2: 0.26473
Valid 4: 0.79794 	 r2: 0.20950
Train 5: 0.83257 	 r2: 0.27236
Valid 5: 0.80073 	 r2: 0.21388
Train 6: 0.83706 	 r2: 0.28060
Valid 6: 0.80426 	 r2: 0.21853
Train 7: 0.84152 	 r2: 0.28915
Valid 7: 0.80725 	 r2: 0.22190
Train 8: 0.84602 	 r2: 0.29797
Valid 8: 0.80947 	 r2: 0.22423
Train 9: 0.85047 	 r2: 0.30694
Valid 9: 0.81037 	 r2: 0.22548
Train 10: 0.85478 	 r2: 0.31568
Valid 10: 0.81078 	 r2: 0.22533
Train 11: 0.85885 	 r2: 0.32423
Valid 11: 0.81101 	 r2: 0.22405
Train 12: 0.86261 	 r2: 0.33243
Valid 12: 0.81073 	 r2: 0.22189
Train 13: 0.86595 	 r2: 0.33998
Valid 13: 0.81010 	 r2: 0.21999
Train 14: 0.86953 	 r2: 0.34806
Valid 14: 0.80912 	 r2: 0.21804
Train 15: 0.87254 	 r2: 0.35554
Valid 15: 0.80730 	 r2: 0.21415
Train 16: 0.87530 	 r2: 0.36226
Valid 16: 0.80438 	 r2: 0.20791
Finish: (0.8110062371710088, 0.22404854947609998)
Test 17: 0.82555 	 r2: 0.24658
Train 1: 0.73915 	 r2: 0.12979
Valid 1: 0.78444 	 r2: 0.18200
Train 2: 0.81377 	 r2: 0.23802
Valid 2: 0.79326 	 r2: 0.20728
Train 3: 0.82567 	 r2: 0.25989
Valid 3: 0.79594 	 r2: 0.20796
Train 4: 0.82945 	 r2: 0.26675
Valid 4: 0.79861 	 r2: 0.21139
Train 5: 0.83448 	 r2: 0.27580
Valid 5: 0.80111 	 r2: 0.21439
Train 6: 0.83871 	 r2: 0.28386
Valid 6: 0.80324 	 r2: 0.21528
Train 7: 0.84210 	 r2: 0.29045
Valid 7: 0.80528 	 r2: 0.21840
Train 8: 0.84593 	 r2: 0.29795
Valid 8: 0.80665 	 r2: 0.22061
Train 9: 0.84960 	 r2: 0.30500
Valid 9: 0.80731 	 r2: 0.22094
Train 10: 0.85269 	 r2: 0.31128
Valid 10: 0.80729 	 r2: 0.21852
Train 11: 0.85541 	 r2: 0.31677
Valid 11: 0.80752 	 r2: 0.21857
Train 12: 0.85826 	 r2: 0.32232
Valid 12: 0.80577 	 r2: 0.21464
Train 13: 0.86101 	 r2: 0.32828
Valid 13: 0.80449 	 r2: 0.21004
Train 14: 0.86318 	 r2: 0.33339
Valid 14: 0.80401 	 r2: 0.20733
Train 15: 0.86560 	 r2: 0.33910
Valid 15: 0.80515 	 r2: 0.21182
Train 16: 0.86721 	 r2: 0.34329
Valid 16: 0.80512 	 r2: 0.20953
Finish: (0.8075156379454234, 0.2185659409627677)
Test 17: 0.82282 	 r2: 0.24170
Train 1: 0.74171 	 r2: 0.13478
Valid 1: 0.78508 	 r2: 0.19159
Train 2: 0.81548 	 r2: 0.24085
Valid 2: 0.79362 	 r2: 0.20037
Train 3: 0.82572 	 r2: 0.25957
Valid 3: 0.79754 	 r2: 0.21058
Train 4: 0.83071 	 r2: 0.26854
Valid 4: 0.80027 	 r2: 0.21217
Train 5: 0.83481 	 r2: 0.27635
Valid 5: 0.80358 	 r2: 0.21750
Train 6: 0.83948 	 r2: 0.28551
Valid 6: 0.80673 	 r2: 0.22196
Train 7: 0.84429 	 r2: 0.29533
Valid 7: 0.80877 	 r2: 0.22364
Train 8: 0.84849 	 r2: 0.30423
Valid 8: 0.81007 	 r2: 0.22441
Train 9: 0.85299 	 r2: 0.31347
Valid 9: 0.81078 	 r2: 0.22419
Train 10: 0.85728 	 r2: 0.32256
Valid 10: 0.81102 	 r2: 0.22319
Train 11: 0.86130 	 r2: 0.33147
Valid 11: 0.81065 	 r2: 0.22023
Train 12: 0.86525 	 r2: 0.34053
Valid 12: 0.80935 	 r2: 0.21470
Train 13: 0.86886 	 r2: 0.34914
Valid 13: 0.80821 	 r2: 0.21024
Train 14: 0.87209 	 r2: 0.35716
Valid 14: 0.80703 	 r2: 0.20553
Train 15: 0.87489 	 r2: 0.36425
Valid 15: 0.80602 	 r2: 0.20361
Finish: (0.8110166860628665, 0.22319118113099656)
Test 16: 0.82530 	 r2: 0.24677
Train 1: 0.72456 	 r2: 0.10830
Valid 1: 0.78069 	 r2: 0.18046
Train 2: 0.81656 	 r2: 0.24291
Valid 2: 0.79398 	 r2: 0.20736
Train 3: 0.82680 	 r2: 0.26116
Valid 3: 0.79805 	 r2: 0.21278
Train 4: 0.83120 	 r2: 0.26934
Valid 4: 0.80133 	 r2: 0.21763
Train 5: 0.83624 	 r2: 0.27902
Valid 5: 0.80396 	 r2: 0.22097
Train 6: 0.84079 	 r2: 0.28794
Valid 6: 0.80614 	 r2: 0.22257
Train 7: 0.84475 	 r2: 0.29592
Valid 7: 0.80818 	 r2: 0.22426
Train 8: 0.84871 	 r2: 0.30384
Valid 8: 0.80922 	 r2: 0.22507
Train 9: 0.85259 	 r2: 0.31176
Valid 9: 0.80926 	 r2: 0.22399
Train 10: 0.85589 	 r2: 0.31880
Valid 10: 0.80939 	 r2: 0.22297
Train 11: 0.85939 	 r2: 0.32640
Valid 11: 0.80839 	 r2: 0.22120
Train 12: 0.86303 	 r2: 0.33459
Valid 12: 0.80770 	 r2: 0.21802
Train 13: 0.86655 	 r2: 0.34252
Valid 13: 0.80673 	 r2: 0.21473
Train 14: 0.86985 	 r2: 0.35032
Valid 14: 0.80612 	 r2: 0.21298
Train 15: 0.87320 	 r2: 0.35836
Valid 15: 0.80565 	 r2: 0.21056
Finish: (0.8093910777954947, 0.22296802995873477)
Test 16: 0.82520 	 r2: 0.24734
Train 1: 0.61220 	 r2: -0.08534
Valid 1: 0.76554 	 r2: 0.16356
Train 2: 0.80306 	 r2: 0.22484
Valid 2: 0.78960 	 r2: 0.20383
Train 3: 0.82287 	 r2: 0.25529
Valid 3: 0.79558 	 r2: 0.21329
Train 4: 0.82807 	 r2: 0.26483
Valid 4: 0.79766 	 r2: 0.21620
Train 5: 0.83167 	 r2: 0.27155
Valid 5: 0.79956 	 r2: 0.21801
Train 6: 0.83528 	 r2: 0.27853
Valid 6: 0.80186 	 r2: 0.22009
Train 7: 0.83930 	 r2: 0.28649
Valid 7: 0.80325 	 r2: 0.22062
Train 8: 0.84347 	 r2: 0.29502
Valid 8: 0.80475 	 r2: 0.22117
Train 9: 0.84756 	 r2: 0.30377
Valid 9: 0.80612 	 r2: 0.22245
Train 10: 0.85157 	 r2: 0.31209
Valid 10: 0.80604 	 r2: 0.22150
Train 11: 0.85527 	 r2: 0.32035
Valid 11: 0.80430 	 r2: 0.21672
Train 12: 0.85869 	 r2: 0.32825
Valid 12: 0.80368 	 r2: 0.21475
Train 13: 0.86204 	 r2: 0.33591
Valid 13: 0.80251 	 r2: 0.21131
Train 14: 0.86516 	 r2: 0.34323
Valid 14: 0.80061 	 r2: 0.20904
Finish: (0.8061182171276174, 0.22245399921466358)
Test 15: 0.82425 	 r2: 0.24984
N: 20; d: 60
Train 1: 0.62322 	 r2: -0.07189
Valid 1: 0.76613 	 r2: 0.17019
Train 2: 0.80582 	 r2: 0.22750
Valid 2: 0.78949 	 r2: 0.20622
Train 3: 0.82206 	 r2: 0.25381
Valid 3: 0.79385 	 r2: 0.21165
Train 4: 0.82685 	 r2: 0.26289
Valid 4: 0.79583 	 r2: 0.21478
Train 5: 0.82987 	 r2: 0.26791
Valid 5: 0.79788 	 r2: 0.21678
Train 6: 0.83320 	 r2: 0.27467
Valid 6: 0.80041 	 r2: 0.21873
Train 7: 0.83757 	 r2: 0.28330
Valid 7: 0.80388 	 r2: 0.22135
Train 8: 0.84210 	 r2: 0.29255
Valid 8: 0.80730 	 r2: 0.22650
Train 9: 0.84709 	 r2: 0.30325
Valid 9: 0.80928 	 r2: 0.22577
Train 10: 0.85166 	 r2: 0.31291
Valid 10: 0.81027 	 r2: 0.22372
Train 11: 0.85561 	 r2: 0.32155
Valid 11: 0.81055 	 r2: 0.22287
Train 12: 0.85900 	 r2: 0.32910
Valid 12: 0.81043 	 r2: 0.22352
Train 13: 0.86271 	 r2: 0.33764
Valid 13: 0.80836 	 r2: 0.21971
Train 14: 0.86582 	 r2: 0.34490
Valid 14: 0.80606 	 r2: 0.21288
Train 15: 0.86868 	 r2: 0.35193
Valid 15: 0.80464 	 r2: 0.20405
Train 16: 0.87104 	 r2: 0.35749
Valid 16: 0.80417 	 r2: 0.19976
Finish: (0.8105524804182496, 0.22286780088408076)
Test 17: 0.82548 	 r2: 0.24581
Train 1: 0.74992 	 r2: 0.14654
Valid 1: 0.78309 	 r2: 0.19119
Train 2: 0.81523 	 r2: 0.24062
Valid 2: 0.79481 	 r2: 0.20205
Train 3: 0.82600 	 r2: 0.25949
Valid 3: 0.79886 	 r2: 0.21614
Train 4: 0.83261 	 r2: 0.27103
Valid 4: 0.80187 	 r2: 0.21740
Train 5: 0.83713 	 r2: 0.27948
Valid 5: 0.80356 	 r2: 0.21886
Train 6: 0.84174 	 r2: 0.28829
Valid 6: 0.80495 	 r2: 0.22077
Train 7: 0.84621 	 r2: 0.29658
Valid 7: 0.80627 	 r2: 0.22385
Train 8: 0.85033 	 r2: 0.30465
Valid 8: 0.80694 	 r2: 0.22356
Train 9: 0.85406 	 r2: 0.31214
Valid 9: 0.80712 	 r2: 0.22361
Train 10: 0.85763 	 r2: 0.31930
Valid 10: 0.80723 	 r2: 0.22417
Train 11: 0.86103 	 r2: 0.32665
Valid 11: 0.80781 	 r2: 0.22433
Train 12: 0.86437 	 r2: 0.33414
Valid 12: 0.80686 	 r2: 0.22163
Train 13: 0.86715 	 r2: 0.34026
Valid 13: 0.80464 	 r2: 0.21798
Train 14: 0.86944 	 r2: 0.34584
Valid 14: 0.80170 	 r2: 0.21472
Train 15: 0.87225 	 r2: 0.35263
Valid 15: 0.79863 	 r2: 0.20589
Train 16: 0.87360 	 r2: 0.35633
Valid 16: 0.79982 	 r2: 0.19980
Finish: (0.8078087577943907, 0.2243339480666543)
Test 17: 0.82286 	 r2: 0.24565
Train 1: 0.74031 	 r2: 0.13567
Valid 1: 0.78400 	 r2: 0.17689
Train 2: 0.81599 	 r2: 0.24156
Valid 2: 0.79436 	 r2: 0.21218
Train 3: 0.82661 	 r2: 0.26095
Valid 3: 0.79788 	 r2: 0.21271
Train 4: 0.83113 	 r2: 0.26915
Valid 4: 0.80125 	 r2: 0.21707
Train 5: 0.83563 	 r2: 0.27746
Valid 5: 0.80430 	 r2: 0.22024
Train 6: 0.84057 	 r2: 0.28755
Valid 6: 0.80622 	 r2: 0.22129
Train 7: 0.84506 	 r2: 0.29625
Valid 7: 0.80803 	 r2: 0.22318
Train 8: 0.84964 	 r2: 0.30527
Valid 8: 0.80868 	 r2: 0.22338
Train 9: 0.85383 	 r2: 0.31372
Valid 9: 0.80843 	 r2: 0.22117
Train 10: 0.85773 	 r2: 0.32180
Valid 10: 0.80777 	 r2: 0.21808
Train 11: 0.86147 	 r2: 0.32979
Valid 11: 0.80815 	 r2: 0.21454
Train 12: 0.86504 	 r2: 0.33771
Valid 12: 0.80729 	 r2: 0.20931
Train 13: 0.86780 	 r2: 0.34420
Valid 13: 0.80602 	 r2: 0.20229
Finish: (0.8086826026483676, 0.22337872205805853)
Test 14: 0.82434 	 r2: 0.24710
Train 1: 0.62338 	 r2: -0.08166
Valid 1: 0.76858 	 r2: 0.16916
Train 2: 0.80600 	 r2: 0.22776
Valid 2: 0.78965 	 r2: 0.20711
Train 3: 0.82174 	 r2: 0.25358
Valid 3: 0.79400 	 r2: 0.21130
