N: 40; d: 60
Train 1: 0.73176 	 r2: 0.10916
Valid 1: 0.78063 	 r2: 0.17410
Train 2: 0.78723 	 r2: 0.19507
Valid 2: 0.79184 	 r2: 0.19797
Train 3: 0.79732 	 r2: 0.21440
Valid 3: 0.79706 	 r2: 0.20551
Train 4: 0.80242 	 r2: 0.22353
Valid 4: 0.79881 	 r2: 0.21020
Train 5: 0.80547 	 r2: 0.22903
Valid 5: 0.79974 	 r2: 0.21381
Train 6: 0.80760 	 r2: 0.23308
Valid 6: 0.79997 	 r2: 0.21319
Train 7: 0.80932 	 r2: 0.23627
Valid 7: 0.80009 	 r2: 0.21241
Train 8: 0.81053 	 r2: 0.23884
Valid 8: 0.80017 	 r2: 0.21236
Train 9: 0.81157 	 r2: 0.24085
Valid 9: 0.79936 	 r2: 0.21079
Train 10: 0.81237 	 r2: 0.24268
Valid 10: 0.79902 	 r2: 0.21011
Train 11: 0.81309 	 r2: 0.24439
Valid 11: 0.79836 	 r2: 0.20449
Train 12: 0.81432 	 r2: 0.24684
Valid 12: 0.79774 	 r2: 0.20566
Train 13: 0.81517 	 r2: 0.24840
Valid 13: 0.79647 	 r2: 0.20244
Finish: (0.8001715511906812, 0.21235619560184293)
Test 14: 0.80707 	 r2: 0.22620
Train 1: 0.73360 	 r2: 0.11198
Valid 1: 0.78068 	 r2: 0.17468
Train 2: 0.78651 	 r2: 0.19432
Valid 2: 0.79144 	 r2: 0.19678
Train 3: 0.79709 	 r2: 0.21399
Valid 3: 0.79700 	 r2: 0.20737
Train 4: 0.80237 	 r2: 0.22303
Valid 4: 0.79851 	 r2: 0.20820
Train 5: 0.80507 	 r2: 0.22817
Valid 5: 0.79960 	 r2: 0.21063
Train 6: 0.80717 	 r2: 0.23222
Valid 6: 0.79997 	 r2: 0.21050
Train 7: 0.80888 	 r2: 0.23555
Valid 7: 0.80020 	 r2: 0.21263
Train 8: 0.81028 	 r2: 0.23835
Valid 8: 0.79990 	 r2: 0.21195
Train 9: 0.81152 	 r2: 0.24080
Valid 9: 0.79988 	 r2: 0.21266
Train 10: 0.81246 	 r2: 0.24275
Valid 10: 0.79935 	 r2: 0.20963
Train 11: 0.81346 	 r2: 0.24466
Valid 11: 0.79890 	 r2: 0.20880
Train 12: 0.81418 	 r2: 0.24607
Valid 12: 0.79757 	 r2: 0.20513
Finish: (0.8002046504352841, 0.2126291335649083)
Test 13: 0.80754 	 r2: 0.22594
Train 1: 0.73758 	 r2: 0.11835
Valid 1: 0.77951 	 r2: 0.17568
Train 2: 0.78636 	 r2: 0.19410
Valid 2: 0.79187 	 r2: 0.19681
Train 3: 0.79732 	 r2: 0.21368
