N: 20; d: 20
Train 1: 0.75128 	 r2: 0.13281
Valid 1: 0.78808 	 r2: 0.18978
Train 2: 0.79452 	 r2: 0.20669
Valid 2: 0.79894 	 r2: 0.21174
Train 3: 0.80225 	 r2: 0.22216
Valid 3: 0.80068 	 r2: 0.21610
Train 4: 0.80566 	 r2: 0.22835
Valid 4: 0.80139 	 r2: 0.21684
Train 5: 0.80781 	 r2: 0.23259
Valid 5: 0.80149 	 r2: 0.21722
Train 6: 0.80976 	 r2: 0.23633
Valid 6: 0.80081 	 r2: 0.21547
Train 7: 0.81119 	 r2: 0.23928
Valid 7: 0.80027 	 r2: 0.21345
Train 8: 0.81292 	 r2: 0.24280
Valid 8: 0.79905 	 r2: 0.21225
Train 9: 0.81422 	 r2: 0.24533
Valid 9: 0.79827 	 r2: 0.20949
Train 10: 0.81549 	 r2: 0.24803
Valid 10: 0.79697 	 r2: 0.20755
Finish: (0.8014880563282684, 0.21722258926245697)
Test 11: 0.80841 	 r2: 0.22959
Train 1: 0.74260 	 r2: 0.10985
Valid 1: 0.78397 	 r2: 0.17639
Train 2: 0.79223 	 r2: 0.20192
Valid 2: 0.79874 	 r2: 0.20943
Train 3: 0.80171 	 r2: 0.22073
Valid 3: 0.80035 	 r2: 0.21387
Train 4: 0.80518 	 r2: 0.22730
Valid 4: 0.80057 	 r2: 0.21486
Train 5: 0.80757 	 r2: 0.23224
Valid 5: 0.79925 	 r2: 0.21195
Train 6: 0.80923 	 r2: 0.23603
Valid 6: 0.79856 	 r2: 0.21218
Train 7: 0.81092 	 r2: 0.23912
Valid 7: 0.79760 	 r2: 0.20829
Train 8: 0.81206 	 r2: 0.24169
Valid 8: 0.79714 	 r2: 0.20892
Train 9: 0.81354 	 r2: 0.24468
Valid 9: 0.79621 	 r2: 0.20654
Finish: (0.8005681578835078, 0.21485957737519623)
Test 10: 0.80659 	 r2: 0.22534
Train 1: 0.75653 	 r2: 0.13950
Valid 1: 0.78873 	 r2: 0.18697
Train 2: 0.79464 	 r2: 0.20601
Valid 2: 0.79816 	 r2: 0.21007
Train 3: 0.80226 	 r2: 0.22102
Valid 3: 0.80011 	 r2: 0.21463
Train 4: 0.80591 	 r2: 0.22791
Valid 4: 0.80043 	 r2: 0.21578
Train 5: 0.80809 	 r2: 0.23252
Valid 5: 0.79970 	 r2: 0.21515
Train 6: 0.80991 	 r2: 0.23617
Valid 6: 0.79918 	 r2: 0.21430
Train 7: 0.81150 	 r2: 0.23939
Valid 7: 0.79761 	 r2: 0.21033
Train 8: 0.81295 	 r2: 0.24246
Valid 8: 0.79726 	 r2: 0.20908
Train 9: 0.81413 	 r2: 0.24494
Valid 9: 0.79521 	 r2: 0.20572
Finish: (0.8004299048499456, 0.2157767973369067)
Test 10: 0.80749 	 r2: 0.22635
Train 1: 0.73915 	 r2: 0.09624
Valid 1: 0.78448 	 r2: 0.18107
Train 2: 0.79346 	 r2: 0.20382
Valid 2: 0.79840 	 r2: 0.21056
Train 3: 0.80200 	 r2: 0.22085
Valid 3: 0.79993 	 r2: 0.21419
Train 4: 0.80519 	 r2: 0.22741
Valid 4: 0.80064 	 r2: 0.21544
Train 5: 0.80736 	 r2: 0.23180
Valid 5: 0.80030 	 r2: 0.21384
Train 6: 0.80923 	 r2: 0.23587
Valid 6: 0.79923 	 r2: 0.21033
Train 7: 0.81042 	 r2: 0.23865
Valid 7: 0.79952 	 r2: 0.21164
Train 8: 0.81180 	 r2: 0.24143
Valid 8: 0.79629 	 r2: 0.20584
Train 9: 0.81317 	 r2: 0.24437
Valid 9: 0.79713 	 r2: 0.20788
Finish: (0.8006396341174908, 0.21543586539013415)
Test 10: 0.80732 	 r2: 0.22609
Train 1: 0.75913 	 r2: 0.14301
Valid 1: 0.79014 	 r2: 0.18826
Train 2: 0.79557 	 r2: 0.20726
Valid 2: 0.79842 	 r2: 0.21079
Train 3: 0.80264 	 r2: 0.22173
Valid 3: 0.80053 	 r2: 0.21519
Train 4: 0.80609 	 r2: 0.22815
Valid 4: 0.80133 	 r2: 0.21730
Train 5: 0.80847 	 r2: 0.23301
Valid 5: 0.80063 	 r2: 0.21444
Train 6: 0.81006 	 r2: 0.23601
Valid 6: 0.80025 	 r2: 0.21382
Train 7: 0.81175 	 r2: 0.23951
Valid 7: 0.79885 	 r2: 0.21112
Train 8: 0.81295 	 r2: 0.24215
Valid 8: 0.79900 	 r2: 0.21129
Train 9: 0.81452 	 r2: 0.24519
Valid 9: 0.79682 	 r2: 0.20752
Finish: (0.8013259104432846, 0.2173001357022326)
Test 10: 0.80769 	 r2: 0.22724
Train 1: 0.74931 	 r2: 0.12896
Valid 1: 0.78622 	 r2: 0.18203
Train 2: 0.79385 	 r2: 0.20401
Valid 2: 0.79874 	 r2: 0.21173
Train 3: 0.80150 	 r2: 0.21963
Valid 3: 0.80036 	 r2: 0.21440
Train 4: 0.80498 	 r2: 0.22635
Valid 4: 0.80115 	 r2: 0.21549
Train 5: 0.80708 	 r2: 0.23105
Valid 5: 0.80107 	 r2: 0.21716
Train 6: 0.80922 	 r2: 0.23542
Valid 6: 0.80018 	 r2: 0.21291
Train 7: 0.81084 	 r2: 0.23894
Valid 7: 0.79912 	 r2: 0.21153
Train 8: 0.81211 	 r2: 0.24146
Valid 8: 0.79817 	 r2: 0.20855
Train 9: 0.81341 	 r2: 0.24433
Valid 9: 0.79685 	 r2: 0.20653
Finish: (0.8011478978773854, 0.21549401627553377)
Test 10: 0.80795 	 r2: 0.22837
N: 20; d: 60
Train 1: 0.73274 	 r2: 0.05954
Valid 1: 0.78105 	 r2: 0.17291
Train 2: 0.79214 	 r2: 0.20115
Valid 2: 0.79756 	 r2: 0.20786
Train 3: 0.80131 	 r2: 0.22036
Valid 3: 0.79879 	 r2: 0.21032
Train 4: 0.80495 	 r2: 0.22760
Valid 4: 0.79916 	 r2: 0.21108
Train 5: 0.80755 	 r2: 0.23278
Valid 5: 0.79839 	 r2: 0.21014
Train 6: 0.80947 	 r2: 0.23657
Valid 6: 0.79849 	 r2: 0.20935
Train 7: 0.81090 	 r2: 0.23963
Valid 7: 0.79694 	 r2: 0.20679
Train 8: 0.81236 	 r2: 0.24268
Valid 8: 0.79588 	 r2: 0.20016
Train 9: 0.81342 	 r2: 0.24517
Valid 9: 0.79462 	 r2: 0.20235
Finish: (0.7991628745308113, 0.21108163347641784)
Test 10: 0.80640 	 r2: 0.22364
Train 1: 0.74074 	 r2: 0.09257
Valid 1: 0.78655 	 r2: 0.18243
Train 2: 0.79419 	 r2: 0.20560
Valid 2: 0.79698 	 r2: 0.20513
Train 3: 0.80200 	 r2: 0.22155
Valid 3: 0.79817 	 r2: 0.20816
Train 4: 0.80546 	 r2: 0.22860
Valid 4: 0.79857 	 r2: 0.20863
Train 5: 0.80786 	 r2: 0.23370
Valid 5: 0.79856 	 r2: 0.20961
Train 6: 0.80971 	 r2: 0.23759
Valid 6: 0.79782 	 r2: 0.20739
Train 7: 0.81140 	 r2: 0.24093
Valid 7: 0.79737 	 r2: 0.20779
Train 8: 0.81311 	 r2: 0.24455
Valid 8: 0.79720 	 r2: 0.20506
Train 9: 0.81451 	 r2: 0.24764
Valid 9: 0.79589 	 r2: 0.20387
Finish: (0.798570398077661, 0.20863067482597997)
Test 10: 0.80530 	 r2: 0.21885
Train 1: 0.75174 	 r2: 0.13465
Valid 1: 0.78795 	 r2: 0.18512
Train 2: 0.79508 	 r2: 0.20745
Valid 2: 0.79872 	 r2: 0.21127
Train 3: 0.80240 	 r2: 0.22255
Valid 3: 0.80051 	 r2: 0.21498
Train 4: 0.80627 	 r2: 0.22993
