N: 20; d: 20
Train 1: 0.63113 	 r2: 0.05104
Valid 1: 0.76095 	 r2: 0.18666
Train 2: 0.78521 	 r2: 0.24352
Valid 2: 0.80689 	 r2: 0.28543
Train 3: 0.80128 	 r2: 0.27747
Valid 3: 0.81202 	 r2: 0.29793
Train 4: 0.80584 	 r2: 0.28831
Valid 4: 0.81521 	 r2: 0.30390
Train 5: 0.80951 	 r2: 0.29572
Valid 5: 0.81793 	 r2: 0.31200
Train 6: 0.81261 	 r2: 0.30168
Valid 6: 0.81971 	 r2: 0.31635
Train 7: 0.81500 	 r2: 0.30607
Valid 7: 0.82085 	 r2: 0.31746
Train 8: 0.81664 	 r2: 0.30918
Valid 8: 0.82176 	 r2: 0.31786
Train 9: 0.81833 	 r2: 0.31201
Valid 9: 0.82272 	 r2: 0.31955
Train 10: 0.81938 	 r2: 0.31385
Valid 10: 0.82335 	 r2: 0.32064
Train 11: 0.82064 	 r2: 0.31591
Valid 11: 0.82410 	 r2: 0.32254
Train 12: 0.82165 	 r2: 0.31756
Valid 12: 0.82480 	 r2: 0.32429
Train 13: 0.82250 	 r2: 0.31891
Valid 13: 0.82533 	 r2: 0.32547
Train 14: 0.82323 	 r2: 0.32015
Valid 14: 0.82578 	 r2: 0.32628
Train 15: 0.82406 	 r2: 0.32147
Valid 15: 0.82606 	 r2: 0.32687
Train 16: 0.82475 	 r2: 0.32261
Valid 16: 0.82642 	 r2: 0.32766
Train 17: 0.82565 	 r2: 0.32398
Valid 17: 0.82682 	 r2: 0.32827
Train 18: 0.82638 	 r2: 0.32512
Valid 18: 0.82726 	 r2: 0.32905
Train 19: 0.82736 	 r2: 0.32659
Valid 19: 0.82748 	 r2: 0.32941
Train 20: 0.82817 	 r2: 0.32791
Valid 20: 0.82771 	 r2: 0.32982
Train 21: 0.82877 	 r2: 0.32877
Valid 21: 0.82790 	 r2: 0.32997
Train 22: 0.82959 	 r2: 0.33010
Valid 22: 0.82826 	 r2: 0.33069
Train 23: 0.83025 	 r2: 0.33114
Valid 23: 0.82855 	 r2: 0.33104
Train 24: 0.83091 	 r2: 0.33219
Valid 24: 0.82867 	 r2: 0.33121
Train 25: 0.83143 	 r2: 0.33304
Valid 25: 0.82892 	 r2: 0.33149
Train 26: 0.83212 	 r2: 0.33404
Valid 26: 0.82881 	 r2: 0.33145
Train 27: 0.83263 	 r2: 0.33496
Valid 27: 0.82888 	 r2: 0.33138
Train 28: 0.83326 	 r2: 0.33593
Valid 28: 0.82867 	 r2: 0.33111
Train 29: 0.83370 	 r2: 0.33666
Valid 29: 0.82870 	 r2: 0.33111
Train 30: 0.83432 	 r2: 0.33771
Valid 30: 0.82876 	 r2: 0.33100
Finish: (0.8289176658823345, 0.33148662681703767)
Test 31: 0.82414 	 r2: 0.32069
Train 1: 0.62242 	 r2: 0.04271
Valid 1: 0.75447 	 r2: 0.16729
Train 2: 0.78043 	 r2: 0.23309
Valid 2: 0.80640 	 r2: 0.28433
Train 3: 0.80128 	 r2: 0.27798
Valid 3: 0.81281 	 r2: 0.29901
Train 4: 0.80672 	 r2: 0.29053
Valid 4: 0.81659 	 r2: 0.30977
Train 5: 0.81097 	 r2: 0.29878
Valid 5: 0.81944 	 r2: 0.31625
Train 6: 0.81374 	 r2: 0.30384
Valid 6: 0.82093 	 r2: 0.31865
Train 7: 0.81591 	 r2: 0.30760
Valid 7: 0.82197 	 r2: 0.31951
Train 8: 0.81764 	 r2: 0.31054
Valid 8: 0.82288 	 r2: 0.32104
Train 9: 0.81901 	 r2: 0.31287
Valid 9: 0.82369 	 r2: 0.32253
Train 10: 0.82028 	 r2: 0.31493
Valid 10: 0.82402 	 r2: 0.32285
Train 11: 0.82163 	 r2: 0.31718
Valid 11: 0.82480 	 r2: 0.32410
Train 12: 0.82273 	 r2: 0.31894
Valid 12: 0.82532 	 r2: 0.32489
Train 13: 0.82392 	 r2: 0.32074
Valid 13: 0.82566 	 r2: 0.32507
Train 14: 0.82477 	 r2: 0.32204
Valid 14: 0.82598 	 r2: 0.32541
Train 15: 0.82587 	 r2: 0.32365
Valid 15: 0.82641 	 r2: 0.32605
Train 16: 0.82667 	 r2: 0.32487
Valid 16: 0.82668 	 r2: 0.32678
Train 17: 0.82726 	 r2: 0.32584
Valid 17: 0.82688 	 r2: 0.32711
Train 18: 0.82785 	 r2: 0.32684
Valid 18: 0.82704 	 r2: 0.32763
Train 19: 0.82844 	 r2: 0.32776
Valid 19: 0.82725 	 r2: 0.32791
Train 20: 0.82892 	 r2: 0.32860
Valid 20: 0.82739 	 r2: 0.32834
Train 21: 0.82949 	 r2: 0.32952
Valid 21: 0.82743 	 r2: 0.32868
Train 22: 0.82993 	 r2: 0.33024
Valid 22: 0.82752 	 r2: 0.32869
Train 23: 0.83050 	 r2: 0.33113
Valid 23: 0.82755 	 r2: 0.32892
Train 24: 0.83087 	 r2: 0.33174
Valid 24: 0.82764 	 r2: 0.32900
Train 25: 0.83127 	 r2: 0.33243
Valid 25: 0.82785 	 r2: 0.32924
Train 26: 0.83157 	 r2: 0.33288
Valid 26: 0.82786 	 r2: 0.32901
Train 27: 0.83203 	 r2: 0.33359
Valid 27: 0.82793 	 r2: 0.32941
Train 28: 0.83241 	 r2: 0.33428
Valid 28: 0.82772 	 r2: 0.32918
Train 29: 0.83277 	 r2: 0.33487
Valid 29: 0.82766 	 r2: 0.32939
Train 30: 0.83324 	 r2: 0.33556
Valid 30: 0.82768 	 r2: 0.32919
Train 31: 0.83375 	 r2: 0.33642
Valid 31: 0.82778 	 r2: 0.32939
Train 32: 0.83406 	 r2: 0.33696
Valid 32: 0.82772 	 r2: 0.32931
Finish: (0.8279323622122732, 0.32941101631301395)
Test 33: 0.82310 	 r2: 0.31837
Train 1: 0.60365 	 r2: 0.03366
Valid 1: 0.72252 	 r2: 0.12529
Train 2: 0.77543 	 r2: 0.22979
Valid 2: 0.80571 	 r2: 0.28925
Train 3: 0.80143 	 r2: 0.28214
Valid 3: 0.81271 	 r2: 0.30205
Train 4: 0.80666 	 r2: 0.29204
Valid 4: 0.81518 	 r2: 0.30876
Train 5: 0.81097 	 r2: 0.29956
Valid 5: 0.81725 	 r2: 0.31107
Train 6: 0.81397 	 r2: 0.30482
Valid 6: 0.81916 	 r2: 0.31380
Train 7: 0.81601 	 r2: 0.30839
Valid 7: 0.82078 	 r2: 0.31768
Train 8: 0.81739 	 r2: 0.31066
Valid 8: 0.82198 	 r2: 0.32053
Train 9: 0.81901 	 r2: 0.31318
Valid 9: 0.82281 	 r2: 0.32217
Train 10: 0.82049 	 r2: 0.31554
Valid 10: 0.82360 	 r2: 0.32339
Train 11: 0.82173 	 r2: 0.31745
Valid 11: 0.82424 	 r2: 0.32438
Train 12: 0.82280 	 r2: 0.31917
Valid 12: 0.82499 	 r2: 0.32543
Train 13: 0.82376 	 r2: 0.32070
Valid 13: 0.82565 	 r2: 0.32634
Train 14: 0.82477 	 r2: 0.32231
Valid 14: 0.82612 	 r2: 0.32695
Train 15: 0.82571 	 r2: 0.32384
Valid 15: 0.82682 	 r2: 0.32794
Train 16: 0.82664 	 r2: 0.32534
Valid 16: 0.82741 	 r2: 0.32882
Train 17: 0.82748 	 r2: 0.32665
Valid 17: 0.82773 	 r2: 0.32922
Train 18: 0.82829 	 r2: 0.32798
Valid 18: 0.82809 	 r2: 0.32965
Train 19: 0.82902 	 r2: 0.32919
Valid 19: 0.82824 	 r2: 0.32989
Train 20: 0.82974 	 r2: 0.33037
