N: 20; d: 20
Valid 14: 0.73619 	 r2: 0.13877
Train 15: 0.73765 	 r2: 0.14282
Valid 15: 0.73599 	 r2: 0.13860
Finish: (0.7363899284877762, 0.139416712809603)
Test 16: 0.73320 	 r2: 0.13495
Train 1: 0.65200 	 r2: 0.03864
Valid 1: 0.71408 	 r2: 0.11412
Train 2: 0.71475 	 r2: 0.11659
Valid 2: 0.72654 	 r2: 0.12838
Train 3: 0.72258 	 r2: 0.12492
Valid 3: 0.72980 	 r2: 0.13196
Train 4: 0.72582 	 r2: 0.12859
Valid 4: 0.73144 	 r2: 0.13391
Train 5: 0.72790 	 r2: 0.13100
Valid 5: 0.73301 	 r2: 0.13570
Train 6: 0.72932 	 r2: 0.13271
Valid 6: 0.73359 	 r2: 0.13641
Train 7: 0.73035 	 r2: 0.13398
Valid 7: 0.73409 	 r2: 0.13717
Train 8: 0.73128 	 r2: 0.13514
Valid 8: 0.73462 	 r2: 0.13790
Train 9: 0.73211 	 r2: 0.13618
Valid 9: 0.73493 	 r2: 0.13832
Train 10: 0.73288 	 r2: 0.13711
Valid 10: 0.73524 	 r2: 0.13869
Train 11: 0.73366 	 r2: 0.13801
Valid 11: 0.73527 	 r2: 0.13867
Train 12: 0.73436 	 r2: 0.13885
Valid 12: 0.73520 	 r2: 0.13862
Train 13: 0.73496 	 r2: 0.13956
Valid 13: 0.73526 	 r2: 0.13877
Train 14: 0.73549 	 r2: 0.14019
Valid 14: 0.73526 	 r2: 0.13871
Train 15: 0.73600 	 r2: 0.14081
Valid 15: 0.73527 	 r2: 0.13876
Train 16: 0.73650 	 r2: 0.14142
Valid 16: 0.73524 	 r2: 0.13875
Train 17: 0.73694 	 r2: 0.14198
Valid 17: 0.73513 	 r2: 0.13863
Train 18: 0.73739 	 r2: 0.14255
Valid 18: 0.73498 	 r2: 0.13835
Train 19: 0.73784 	 r2: 0.14309
Valid 19: 0.73476 	 r2: 0.13813
Train 20: 0.73822 	 r2: 0.14365
Valid 20: 0.73467 	 r2: 0.13796
Finish: (0.7352747353344151, 0.13875850100018972)
Test 21: 0.73252 	 r2: 0.13514
Train 1: 0.68105 	 r2: 0.08321
Valid 1: 0.72187 	 r2: 0.12381
Train 2: 0.71956 	 r2: 0.12117
Valid 2: 0.73004 	 r2: 0.13185
Train 3: 0.72481 	 r2: 0.12735
Valid 3: 0.73196 	 r2: 0.13429
Train 4: 0.72748 	 r2: 0.13055
Valid 4: 0.73347 	 r2: 0.13634
Train 5: 0.72930 	 r2: 0.13274
Valid 5: 0.73436 	 r2: 0.13756
Train 6: 0.73068 	 r2: 0.13440
Valid 6: 0.73500 	 r2: 0.13833
Train 7: 0.73186 	 r2: 0.13585
Valid 7: 0.73537 	 r2: 0.13884
Train 8: 0.73292 	 r2: 0.13711
Valid 8: 0.73571 	 r2: 0.13925
Train 9: 0.73378 	 r2: 0.13817
Valid 9: 0.73603 	 r2: 0.13963
Train 10: 0.73452 	 r2: 0.13908
Valid 10: 0.73623 	 r2: 0.13993
Train 11: 0.73521 	 r2: 0.13990
Valid 11: 0.73643 	 r2: 0.14019
Train 12: 0.73584 	 r2: 0.14066
Valid 12: 0.73647 	 r2: 0.14022
Train 13: 0.73645 	 r2: 0.14141
Valid 13: 0.73651 	 r2: 0.14023
Train 14: 0.73706 	 r2: 0.14217
Valid 14: 0.73648 	 r2: 0.14017
Train 15: 0.73767 	 r2: 0.14292
Valid 15: 0.73645 	 r2: 0.14013
Train 16: 0.73825 	 r2: 0.14358
Valid 16: 0.73645 	 r2: 0.14009
Train 17: 0.73880 	 r2: 0.14424
Valid 17: 0.73619 	 r2: 0.13980
Train 18: 0.73932 	 r2: 0.14486
Valid 18: 0.73612 	 r2: 0.13970
Finish: (0.7365051355186596, 0.140226949024004)
Test 19: 0.73361 	 r2: 0.13583
N: 20; d: 40
Train 1: 0.68557 	 r2: 0.08713
Valid 1: 0.72459 	 r2: 0.12685
Train 2: 0.72251 	 r2: 0.12484
Valid 2: 0.73302 	 r2: 0.13593
Train 3: 0.72844 	 r2: 0.13172
Valid 3: 0.73534 	 r2: 0.13887
Train 4: 0.73106 	 r2: 0.13490
Valid 4: 0.73599 	 r2: 0.13959
Train 5: 0.73263 	 r2: 0.13684
Valid 5: 0.73649 	 r2: 0.14017
Train 6: 0.73386 	 r2: 0.13836
Valid 6: 0.73657 	 r2: 0.14032
Train 7: 0.73501 	 r2: 0.13977
Valid 7: 0.73649 	 r2: 0.14017
Train 8: 0.73609 	 r2: 0.14113
Valid 8: 0.73623 	 r2: 0.13962
Train 9: 0.73708 	 r2: 0.14238
Valid 9: 0.73630 	 r2: 0.13962
Train 10: 0.73813 	 r2: 0.14366
Valid 10: 0.73622 	 r2: 0.13953
Train 11: 0.73886 	 r2: 0.14456
Valid 11: 0.73587 	 r2: 0.13897
Finish: (0.7365722999198356, 0.14031956173641702)
Test 12: 0.73274 	 r2: 0.13527
Train 1: 0.68242 	 r2: 0.08389
Valid 1: 0.72350 	 r2: 0.12505
Train 2: 0.72228 	 r2: 0.12438
Valid 2: 0.73203 	 r2: 0.13498
Train 3: 0.72792 	 r2: 0.13103
Valid 3: 0.73393 	 r2: 0.13723
Train 4: 0.73039 	 r2: 0.13407
Valid 4: 0.73485 	 r2: 0.13839
Train 5: 0.73209 	 r2: 0.13623
Valid 5: 0.73543 	 r2: 0.13908
Train 6: 0.73337 	 r2: 0.13786
Valid 6: 0.73575 	 r2: 0.13943
Train 7: 0.73442 	 r2: 0.13920
Valid 7: 0.73592 	 r2: 0.13964
Train 8: 0.73540 	 r2: 0.14046
Valid 8: 0.73598 	 r2: 0.13979
Train 9: 0.73647 	 r2: 0.14178
Valid 9: 0.73611 	 r2: 0.13979
Train 10: 0.73746 	 r2: 0.14299
Valid 10: 0.73611 	 r2: 0.13969
Train 11: 0.73840 	 r2: 0.14419
Valid 11: 0.73585 	 r2: 0.13918
Train 12: 0.73926 	 r2: 0.14527
Valid 12: 0.73575 	 r2: 0.13864
Train 13: 0.74004 	 r2: 0.14624
Valid 13: 0.73558 	 r2: 0.13856
Train 14: 0.73780 	 r2: 0.14350
Valid 14: 0.73585 	 r2: 0.13928
Finish: (0.7361147192385302, 0.1397923248708448)
Test 15: 0.73319 	 r2: 0.13595
Train 1: 0.67537 	 r2: 0.07002
Valid 1: 0.72285 	 r2: 0.12575
Train 2: 0.72058 	 r2: 0.12299
Valid 2: 0.73145 	 r2: 0.13477
Train 3: 0.72645 	 r2: 0.12979
Valid 3: 0.73380 	 r2: 0.13748
Train 4: 0.72927 	 r2: 0.13312
Valid 4: 0.73478 	 r2: 0.13849
Train 5: 0.73122 	 r2: 0.13539
Valid 5: 0.73562 	 r2: 0.13939
Train 6: 0.73266 	 r2: 0.13712
Valid 6: 0.73629 	 r2: 0.14018
Train 7: 0.73382 	 r2: 0.13852
Valid 7: 0.73663 	 r2: 0.14075
Train 8: 0.73488 	 r2: 0.13988
Valid 8: 0.73685 	 r2: 0.14104
Train 9: 0.73581 	 r2: 0.14109
Valid 9: 0.73702 	 r2: 0.14122
Train 10: 0.73671 	 r2: 0.14228
Valid 10: 0.73708 	 r2: 0.14125
Train 11: 0.73760 	 r2: 0.14345
Valid 11: 0.73700 	 r2: 0.14108
Train 12: 0.73839 	 r2: 0.14451
Valid 12: 0.73641 	 r2: 0.14031
Train 13: 0.73615 	 r2: 0.14176
Valid 13: 0.73647 	 r2: 0.14065
Train 14: 0.73794 	 r2: 0.14398
Valid 14: 0.73683 	 r2: 0.14103
Train 15: 0.73993 	 r2: 0.14654
Valid 15: 0.73657 	 r2: 0.14057
Finish: (0.7370845494925821, 0.14124512773001907)
Test 16: 0.73339 	 r2: 0.13591
Train 1: 0.67511 	 r2: 0.07256
Valid 1: 0.72344 	 r2: 0.12528
Train 2: 0.72120 	 r2: 0.12335
Valid 2: 0.73191 	 r2: 0.13486
Train 3: 0.72684 	 r2: 0.12987
Valid 3: 0.73387 	 r2: 0.13734
Train 4: 0.72941 	 r2: 0.13292
Valid 4: 0.73498 	 r2: 0.13865
Train 5: 0.73114 	 r2: 0.13495
Valid 5: 0.73552 	 r2: 0.13939
Train 6: 0.73259 	 r2: 0.13678
Valid 6: 0.73573 	 r2: 0.13961
Train 7: 0.73360 	 r2: 0.13805
Valid 7: 0.73582 	 r2: 0.13969
Train 8: 0.73457 	 r2: 0.13934
Valid 8: 0.73569 	 r2: 0.13943
Train 9: 0.73554 	 r2: 0.14056
Valid 9: 0.73550 	 r2: 0.13930
Train 10: 0.73647 	 r2: 0.14178
Valid 10: 0.73521 	 r2: 0.13879
Train 11: 0.73702 	 r2: 0.14250
Valid 11: 0.73466 	 r2: 0.13799
Train 12: 0.73774 	 r2: 0.14355
Valid 12: 0.73469 	 r2: 0.13808
Finish: (0.7358203116873622, 0.1396936214893546)
Test 13: 0.73334 	 r2: 0.13603
Train 1: 0.68752 	 r2: 0.08947
Valid 1: 0.72468 	 r2: 0.12621
Train 2: 0.72233 	 r2: 0.12439
Valid 2: 0.73210 	 r2: 0.13440
Train 3: 0.72774 	 r2: 0.13062
Valid 3: 0.73402 	 r2: 0.13675
Train 4: 0.73044 	 r2: 0.13376
Valid 4: 0.73483 	 r2: 0.13802
Train 5: 0.73222 	 r2: 0.13587
Valid 5: 0.73498 	 r2: 0.13826
Train 6: 0.73355 	 r2: 0.13750
Valid 6: 0.73544 	 r2: 0.13876
Train 7: 0.73468 	 r2: 0.13894
Valid 7: 0.73568 	 r2: 0.13892
Train 8: 0.73563 	 r2: 0.14013
Valid 8: 0.73575 	 r2: 0.13918
Train 9: 0.73659 	 r2: 0.14131
Valid 9: 0.73575 	 r2: 0.13925
Train 10: 0.73747 	 r2: 0.14246
Valid 10: 0.73542 	 r2: 0.13892
Train 11: 0.73828 	 r2: 0.14345
Valid 11: 0.73535 	 r2: 0.13892
Train 12: 0.73919 	 r2: 0.14462
Valid 12: 0.73497 	 r2: 0.13814
Train 13: 0.73999 	 r2: 0.14571
