N: 30; d: 20
Train 1: 0.66124 	 r2: 0.05934
Valid 1: 0.71529 	 r2: 0.11639
Train 2: 0.71500 	 r2: 0.11674
Valid 2: 0.72828 	 r2: 0.13048
Train 3: 0.72345 	 r2: 0.12572
Valid 3: 0.73152 	 r2: 0.13430
Train 4: 0.72662 	 r2: 0.12951
Valid 4: 0.73323 	 r2: 0.13642
Train 5: 0.72871 	 r2: 0.13203
Valid 5: 0.73438 	 r2: 0.13783
Train 6: 0.73019 	 r2: 0.13383
Valid 6: 0.73506 	 r2: 0.13853
Train 7: 0.73128 	 r2: 0.13516
Valid 7: 0.73550 	 r2: 0.13894
Train 8: 0.73217 	 r2: 0.13623
Valid 8: 0.73581 	 r2: 0.13917
Train 9: 0.73290 	 r2: 0.13711
Valid 9: 0.73598 	 r2: 0.13933
Train 10: 0.73360 	 r2: 0.13800
Valid 10: 0.73608 	 r2: 0.13940
Train 11: 0.73422 	 r2: 0.13878
Valid 11: 0.73620 	 r2: 0.13964
Train 12: 0.73485 	 r2: 0.13959
Valid 12: 0.73634 	 r2: 0.13983
Train 13: 0.73541 	 r2: 0.14029
Valid 13: 0.73636 	 r2: 0.13968
Train 14: 0.73594 	 r2: 0.14094
Valid 14: 0.73641 	 r2: 0.13967
Train 15: 0.73642 	 r2: 0.14152
Valid 15: 0.73641 	 r2: 0.13958
Train 16: 0.73688 	 r2: 0.14210
Valid 16: 0.73652 	 r2: 0.13964
Train 17: 0.73737 	 r2: 0.14271
Valid 17: 0.73645 	 r2: 0.13953
Train 18: 0.73785 	 r2: 0.14331
Valid 18: 0.73647 	 r2: 0.13958
Train 19: 0.73833 	 r2: 0.14392
Valid 19: 0.73628 	 r2: 0.13938
Train 20: 0.73873 	 r2: 0.14439
Valid 20: 0.73625 	 r2: 0.13923
Train 21: 0.73919 	 r2: 0.14496
Valid 21: 0.73607 	 r2: 0.13893
Finish: (0.7365188060897272, 0.13963592865540664)
Test 22: 0.73404 	 r2: 0.13600
