N: 20; d: 20
Valid 5: 0.78843 	 r2: 0.19131
Train 6: 0.79444 	 r2: 0.21153
Valid 6: 0.78992 	 r2: 0.19371
Train 7: 0.79710 	 r2: 0.21599
Valid 7: 0.79058 	 r2: 0.19453
Train 8: 0.79890 	 r2: 0.21910
Valid 8: 0.79113 	 r2: 0.19444
Train 9: 0.80041 	 r2: 0.22172
Valid 9: 0.79114 	 r2: 0.19408
Train 10: 0.80169 	 r2: 0.22420
Valid 10: 0.79109 	 r2: 0.19350
Train 11: 0.80266 	 r2: 0.22607
Valid 11: 0.79033 	 r2: 0.19054
Train 12: 0.80355 	 r2: 0.22774
Valid 12: 0.79030 	 r2: 0.19053
Train 13: 0.80450 	 r2: 0.23007
Valid 13: 0.79021 	 r2: 0.18786
Train 14: 0.80520 	 r2: 0.23165
Valid 14: 0.78987 	 r2: 0.18999
Finish: (0.7911398717321223, 0.1940764566834755)
Test 15: 0.79896 	 r2: 0.20774
Train 1: 0.73457 	 r2: 0.11073
Valid 1: 0.77056 	 r2: 0.15978
Train 2: 0.77462 	 r2: 0.17642
Valid 2: 0.77825 	 r2: 0.17774
Train 3: 0.78101 	 r2: 0.19072
Valid 3: 0.78187 	 r2: 0.18444
Train 4: 0.78478 	 r2: 0.19783
Valid 4: 0.78417 	 r2: 0.18762
Train 5: 0.78773 	 r2: 0.20302
Valid 5: 0.78552 	 r2: 0.18899
Train 6: 0.79035 	 r2: 0.20782
Valid 6: 0.78680 	 r2: 0.18901
Train 7: 0.79333 	 r2: 0.21277
Valid 7: 0.78848 	 r2: 0.19061
Train 8: 0.79633 	 r2: 0.21733
Valid 8: 0.78921 	 r2: 0.18965
Train 9: 0.79877 	 r2: 0.22112
Valid 9: 0.78990 	 r2: 0.19043
Train 10: 0.80069 	 r2: 0.22407
Valid 10: 0.79032 	 r2: 0.18954
Train 11: 0.80225 	 r2: 0.22654
Valid 11: 0.79044 	 r2: 0.18976
Train 12: 0.80344 	 r2: 0.22882
Valid 12: 0.79026 	 r2: 0.18854
Train 13: 0.80474 	 r2: 0.23119
Valid 13: 0.78978 	 r2: 0.18765
Train 14: 0.80567 	 r2: 0.23285
Valid 14: 0.78925 	 r2: 0.18630
Train 15: 0.80663 	 r2: 0.23464
Valid 15: 0.78899 	 r2: 0.18647
Train 16: 0.80743 	 r2: 0.23645
Valid 16: 0.78824 	 r2: 0.18313
Finish: (0.7904413184905017, 0.18976448385477984)
Test 17: 0.79806 	 r2: 0.20379
N: 20; d: 40
Train 1: 0.74763 	 r2: 0.13164
Valid 1: 0.77424 	 r2: 0.16522
Train 2: 0.77907 	 r2: 0.18421
Valid 2: 0.78335 	 r2: 0.18374
Train 3: 0.78730 	 r2: 0.19980
Valid 3: 0.78696 	 r2: 0.18747
Train 4: 0.79227 	 r2: 0.20838
Valid 4: 0.78832 	 r2: 0.18667
Train 5: 0.79571 	 r2: 0.21411
Valid 5: 0.78909 	 r2: 0.18592
Train 6: 0.79848 	 r2: 0.21855
Valid 6: 0.78899 	 r2: 0.18634
Train 7: 0.80063 	 r2: 0.22258
Valid 7: 0.78968 	 r2: 0.18311
Train 8: 0.80220 	 r2: 0.22539
Valid 8: 0.79035 	 r2: 0.18563
Train 9: 0.80399 	 r2: 0.22896
Valid 9: 0.78941 	 r2: 0.18311
Train 10: 0.80485 	 r2: 0.23084
