N: 1; d: 20
Valid 22: 0.81267 	 r2: 0.23476
Train 23: 0.87273 	 r2: 0.35307
Valid 23: 0.81284 	 r2: 0.23380
Train 24: 0.87399 	 r2: 0.35646
Valid 24: 0.81207 	 r2: 0.23261
Train 25: 0.87527 	 r2: 0.35982
Valid 25: 0.81018 	 r2: 0.22617
Finish: (0.8138992000615087, 0.2398657887179111)
Test 26: 0.82924 	 r2: 0.25952
Train 1: 0.67232 	 r2: -0.08041
Valid 1: 0.74733 	 r2: 0.15567
Train 2: 0.78493 	 r2: 0.20342
Valid 2: 0.76127 	 r2: 0.16297
Train 3: 0.79347 	 r2: 0.21106
Valid 3: 0.76328 	 r2: 0.17054
Train 4: 0.79747 	 r2: 0.21615
Valid 4: 0.76864 	 r2: 0.17639
Train 5: 0.80661 	 r2: 0.22759
Valid 5: 0.77792 	 r2: 0.18829
Train 6: 0.81523 	 r2: 0.24043
Valid 6: 0.78313 	 r2: 0.19432
Train 7: 0.82020 	 r2: 0.24814
Valid 7: 0.78874 	 r2: 0.20085
Train 8: 0.82469 	 r2: 0.25446
Valid 8: 0.79291 	 r2: 0.20554
Train 9: 0.82920 	 r2: 0.26107
Valid 9: 0.79639 	 r2: 0.20840
Train 10: 0.83341 	 r2: 0.26751
Valid 10: 0.80038 	 r2: 0.21469
Train 11: 0.83812 	 r2: 0.27521
Valid 11: 0.80498 	 r2: 0.22210
Train 12: 0.84205 	 r2: 0.28232
Valid 12: 0.80555 	 r2: 0.22340
Train 13: 0.84463 	 r2: 0.28754
Valid 13: 0.80743 	 r2: 0.22818
Train 14: 0.84658 	 r2: 0.29241
Valid 14: 0.80563 	 r2: 0.22615
Train 15: 0.84933 	 r2: 0.29810
Valid 15: 0.80811 	 r2: 0.22956
Train 16: 0.85324 	 r2: 0.30620
Valid 16: 0.81083 	 r2: 0.23424
Train 17: 0.85669 	 r2: 0.31398
Valid 17: 0.81081 	 r2: 0.23435
Train 18: 0.85949 	 r2: 0.32067
Valid 18: 0.81089 	 r2: 0.23356
Train 19: 0.86194 	 r2: 0.32673
Valid 19: 0.81111 	 r2: 0.23417
Train 20: 0.86405 	 r2: 0.33202
Valid 20: 0.81086 	 r2: 0.23294
Train 21: 0.86479 	 r2: 0.33448
Valid 21: 0.81025 	 r2: 0.23117
Train 22: 0.86617 	 r2: 0.33740
Valid 22: 0.80916 	 r2: 0.22969
Train 23: 0.86759 	 r2: 0.34139
Valid 23: 0.81082 	 r2: 0.23322
Train 24: 0.87068 	 r2: 0.34865
Valid 24: 0.81017 	 r2: 0.23230
Finish: (0.8111059755163035, 0.2341717045277789)
Test 25: 0.82640 	 r2: 0.25404
Train 1: 0.66985 	 r2: -0.09707
Valid 1: 0.74561 	 r2: 0.15452
Train 2: 0.78413 	 r2: 0.20289
Valid 2: 0.76131 	 r2: 0.16293
Train 3: 0.79371 	 r2: 0.21138
Valid 3: 0.76347 	 r2: 0.17073
Train 4: 0.79805 	 r2: 0.21697
Valid 4: 0.76890 	 r2: 0.17666
Train 5: 0.80758 	 r2: 0.22904
Valid 5: 0.77871 	 r2: 0.18955
Train 6: 0.81692 	 r2: 0.24280
Valid 6: 0.78545 	 r2: 0.19707
Train 7: 0.82223 	 r2: 0.25080
Valid 7: 0.79077 	 r2: 0.20304
Train 8: 0.82652 	 r2: 0.25721
Valid 8: 0.79452 	 r2: 0.20792
Train 9: 0.83083 	 r2: 0.26361
Valid 9: 0.79839 	 r2: 0.21228
Train 10: 0.83465 	 r2: 0.26976
Valid 10: 0.80216 	 r2: 0.21859
Train 11: 0.83922 	 r2: 0.27765
Valid 11: 0.80607 	 r2: 0.22551
Train 12: 0.84265 	 r2: 0.28455
Valid 12: 0.80646 	 r2: 0.22750
Train 13: 0.84548 	 r2: 0.29048
Valid 13: 0.80622 	 r2: 0.22757
Train 14: 0.84760 	 r2: 0.29526
Valid 14: 0.80579 	 r2: 0.22517
Train 15: 0.84939 	 r2: 0.29964
Valid 15: 0.80893 	 r2: 0.23189
Train 16: 0.85306 	 r2: 0.30734
Valid 16: 0.80976 	 r2: 0.23391
Train 17: 0.85596 	 r2: 0.31368
Valid 17: 0.81017 	 r2: 0.23384
Train 18: 0.85783 	 r2: 0.31799
Valid 18: 0.81051 	 r2: 0.23403
Train 19: 0.85867 	 r2: 0.32052
Valid 19: 0.81163 	 r2: 0.23603
Train 20: 0.86202 	 r2: 0.32791
Valid 20: 0.81151 	 r2: 0.23552
Train 21: 0.86507 	 r2: 0.33490
Valid 21: 0.81134 	 r2: 0.23507
Train 22: 0.86698 	 r2: 0.33940
Valid 22: 0.81092 	 r2: 0.23421
Train 23: 0.86837 	 r2: 0.34298
Valid 23: 0.81059 	 r2: 0.23232
Train 24: 0.86977 	 r2: 0.34668
Valid 24: 0.80904 	 r2: 0.22860
Finish: (0.8116332062229193, 0.23602544316653118)
Test 25: 0.82730 	 r2: 0.25696
Train 1: 0.67491 	 r2: -0.07150
Valid 1: 0.75023 	 r2: 0.15757
Train 2: 0.78589 	 r2: 0.20440
Valid 2: 0.76138 	 r2: 0.16341
