N: 20; d: 20
Train 1: 0.67376 	 r2: 0.04465
Valid 1: 0.71471 	 r2: 0.11376
Train 2: 0.71897 	 r2: 0.11969
Valid 2: 0.73194 	 r2: 0.13439
Train 3: 0.72770 	 r2: 0.13040
Valid 3: 0.73440 	 r2: 0.13736
Train 4: 0.73002 	 r2: 0.13320
Valid 4: 0.73527 	 r2: 0.13862
Train 5: 0.73137 	 r2: 0.13490
Valid 5: 0.73599 	 r2: 0.13958
Train 6: 0.73237 	 r2: 0.13619
Valid 6: 0.73646 	 r2: 0.14022
Train 7: 0.73324 	 r2: 0.13733
Valid 7: 0.73670 	 r2: 0.14072
Train 8: 0.73396 	 r2: 0.13827
Valid 8: 0.73686 	 r2: 0.14106
Train 9: 0.73465 	 r2: 0.13919
Valid 9: 0.73699 	 r2: 0.14131
Train 10: 0.73533 	 r2: 0.14010
Valid 10: 0.73708 	 r2: 0.14147
Train 11: 0.73601 	 r2: 0.14101
Valid 11: 0.73705 	 r2: 0.14151
Train 12: 0.73663 	 r2: 0.14185
Valid 12: 0.73686 	 r2: 0.14130
Train 13: 0.73724 	 r2: 0.14267
Valid 13: 0.73667 	 r2: 0.14109
Train 14: 0.73785 	 r2: 0.14349
Valid 14: 0.73641 	 r2: 0.14067
Train 15: 0.73846 	 r2: 0.14430
Valid 15: 0.73619 	 r2: 0.14021
Finish: (0.7370753661570831, 0.14146826909979016)
Test 16: 0.73437 	 r2: 0.13786
Train 1: 0.70181 	 r2: 0.10132
Valid 1: 0.72870 	 r2: 0.13071
Train 2: 0.72585 	 r2: 0.12814
Valid 2: 0.73372 	 r2: 0.13714
Train 3: 0.72888 	 r2: 0.13197
Valid 3: 0.73539 	 r2: 0.13907
Train 4: 0.73075 	 r2: 0.13433
Valid 4: 0.73629 	 r2: 0.14002
Train 5: 0.73225 	 r2: 0.13636
Valid 5: 0.73690 	 r2: 0.14085
Train 6: 0.73340 	 r2: 0.13788
Valid 6: 0.73713 	 r2: 0.14118
Train 7: 0.73434 	 r2: 0.13903
Valid 7: 0.73725 	 r2: 0.14137
Train 8: 0.73510 	 r2: 0.13999
Valid 8: 0.73723 	 r2: 0.14130
Train 9: 0.73587 	 r2: 0.14095
Valid 9: 0.73718 	 r2: 0.14136
Train 10: 0.73651 	 r2: 0.14177
Valid 10: 0.73715 	 r2: 0.14125
Train 11: 0.73715 	 r2: 0.14259
Valid 11: 0.73693 	 r2: 0.14090
Train 12: 0.73778 	 r2: 0.14343
Valid 12: 0.73683 	 r2: 0.14080
Finish: (0.7372523909803606, 0.14136975305412214)
Test 13: 0.73466 	 r2: 0.13757
Train 1: 0.67400 	 r2: 0.04032
Valid 1: 0.71390 	 r2: 0.11248
Train 2: 0.71843 	 r2: 0.11887
Valid 2: 0.73127 	 r2: 0.13354
Train 3: 0.72734 	 r2: 0.12967
Valid 3: 0.73389 	 r2: 0.13693
Train 4: 0.72962 	 r2: 0.13259
Valid 4: 0.73515 	 r2: 0.13853
Train 5: 0.73110 	 r2: 0.13455
Valid 5: 0.73599 	 r2: 0.13965
Train 6: 0.73223 	 r2: 0.13608
Valid 6: 0.73650 	 r2: 0.14040
Train 7: 0.73317 	 r2: 0.13730
Valid 7: 0.73681 	 r2: 0.14085
Train 8: 0.73404 	 r2: 0.13844
Valid 8: 0.73708 	 r2: 0.14126
Train 9: 0.73481 	 r2: 0.13945
Valid 9: 0.73720 	 r2: 0.14146
Train 10: 0.73554 	 r2: 0.14042
Valid 10: 0.73730 	 r2: 0.14154
Train 11: 0.73625 	 r2: 0.14137
Valid 11: 0.73739 	 r2: 0.14160
Train 12: 0.73692 	 r2: 0.14227
Valid 12: 0.73732 	 r2: 0.14143
Train 13: 0.73759 	 r2: 0.14314
Valid 13: 0.73722 	 r2: 0.14129
Train 14: 0.73820 	 r2: 0.14396
Valid 14: 0.73703 	 r2: 0.14103
Train 15: 0.73880 	 r2: 0.14476
Valid 15: 0.73680 	 r2: 0.14083
Train 16: 0.73939 	 r2: 0.14556
Valid 16: 0.73660 	 r2: 0.14045
Finish: (0.7373905931802718, 0.14159835309627877)
Test 17: 0.73451 	 r2: 0.13770
Train 1: 0.70209 	 r2: 0.10166
Valid 1: 0.72930 	 r2: 0.13126
Train 2: 0.72570 	 r2: 0.12802
Valid 2: 0.73373 	 r2: 0.13657
Train 3: 0.72916 	 r2: 0.13224
Valid 3: 0.73518 	 r2: 0.13838
Train 4: 0.73101 	 r2: 0.13448
Valid 4: 0.73591 	 r2: 0.13933
Train 5: 0.73238 	 r2: 0.13615
Valid 5: 0.73627 	 r2: 0.13987
Train 6: 0.73347 	 r2: 0.13752
Valid 6: 0.73647 	 r2: 0.14023
Train 7: 0.73447 	 r2: 0.13877
Valid 7: 0.73659 	 r2: 0.14047
Train 8: 0.73537 	 r2: 0.13988
Valid 8: 0.73673 	 r2: 0.14071
Train 9: 0.73621 	 r2: 0.14091
Valid 9: 0.73665 	 r2: 0.14064
Train 10: 0.73700 	 r2: 0.14186
Valid 10: 0.73663 	 r2: 0.14065
Train 11: 0.73773 	 r2: 0.14275
Valid 11: 0.73645 	 r2: 0.14046
Train 12: 0.73843 	 r2: 0.14361
Valid 12: 0.73622 	 r2: 0.14023
Train 13: 0.73911 	 r2: 0.14446
Valid 13: 0.73600 	 r2: 0.13994
Finish: (0.7367326044334883, 0.1407115986068307)
Test 14: 0.73498 	 r2: 0.13793
Train 1: 0.69171 	 r2: 0.08954
Valid 1: 0.72711 	 r2: 0.12706
Train 2: 0.72504 	 r2: 0.12700
Valid 2: 0.73340 	 r2: 0.13632
Train 3: 0.72869 	 r2: 0.13156
Valid 3: 0.73475 	 r2: 0.13809
Train 4: 0.73059 	 r2: 0.13396
Valid 4: 0.73552 	 r2: 0.13903
Train 5: 0.73199 	 r2: 0.13574
Valid 5: 0.73618 	 r2: 0.13995
Train 6: 0.73319 	 r2: 0.13738
Valid 6: 0.73676 	 r2: 0.14083
Train 7: 0.73417 	 r2: 0.13872
Valid 7: 0.73708 	 r2: 0.14105
Train 8: 0.73499 	 r2: 0.13981
Valid 8: 0.73733 	 r2: 0.14135
Train 9: 0.73576 	 r2: 0.14086
Valid 9: 0.73749 	 r2: 0.14153
Train 10: 0.73650 	 r2: 0.14182
Valid 10: 0.73752 	 r2: 0.14162
Train 11: 0.73720 	 r2: 0.14276
Valid 11: 0.73751 	 r2: 0.14173
Train 12: 0.73788 	 r2: 0.14367
Valid 12: 0.73740 	 r2: 0.14154
Train 13: 0.73854 	 r2: 0.14452
Valid 13: 0.73702 	 r2: 0.14101
Train 14: 0.73917 	 r2: 0.14533
Valid 14: 0.73692 	 r2: 0.14077
Train 15: 0.73980 	 r2: 0.14616
