N: 1; d: 20
Train 1: 0.64884 	 r2: 0.06244
Valid 1: 0.77322 	 r2: 0.19442
Train 2: 0.79215 	 r2: 0.24668
Valid 2: 0.80881 	 r2: 0.28435
Train 3: 0.80575 	 r2: 0.28372
Valid 3: 0.81314 	 r2: 0.29780
Train 4: 0.81387 	 r2: 0.30008
Valid 4: 0.81690 	 r2: 0.30533
Train 5: 0.81759 	 r2: 0.30778
Valid 5: 0.81907 	 r2: 0.30902
Train 6: 0.82033 	 r2: 0.31291
Valid 6: 0.82084 	 r2: 0.31393
Train 7: 0.82255 	 r2: 0.31694
Valid 7: 0.82164 	 r2: 0.31611
Train 8: 0.82465 	 r2: 0.32088
Valid 8: 0.82245 	 r2: 0.31789
Train 9: 0.82628 	 r2: 0.32395
Valid 9: 0.82344 	 r2: 0.31951
Train 10: 0.82770 	 r2: 0.32649
Valid 10: 0.82417 	 r2: 0.32062
Train 11: 0.82892 	 r2: 0.32859
Valid 11: 0.82422 	 r2: 0.32068
Train 12: 0.83032 	 r2: 0.33107
Valid 12: 0.82440 	 r2: 0.32119
Train 13: 0.83146 	 r2: 0.33322
Valid 13: 0.82444 	 r2: 0.32104
Train 14: 0.83241 	 r2: 0.33485
Valid 14: 0.82421 	 r2: 0.32059
Train 15: 0.83335 	 r2: 0.33657
Valid 15: 0.82429 	 r2: 0.32042
Train 16: 0.83433 	 r2: 0.33822
Valid 16: 0.82476 	 r2: 0.32117
Train 17: 0.83521 	 r2: 0.33969
Valid 17: 0.82393 	 r2: 0.31809
Train 18: 0.83562 	 r2: 0.34048
Valid 18: 0.82415 	 r2: 0.31937
Train 19: 0.83689 	 r2: 0.34284
Valid 19: 0.82449 	 r2: 0.31955
Train 20: 0.83768 	 r2: 0.34437
Valid 20: 0.82424 	 r2: 0.31913
Train 21: 0.83852 	 r2: 0.34598
Valid 21: 0.82432 	 r2: 0.31863
Finish: (0.824758388431396, 0.32116854275691176)
Test 22: 0.81809 	 r2: 0.30789
Train 1: 0.64664 	 r2: 0.05901
Valid 1: 0.76433 	 r2: 0.18638
Train 2: 0.78718 	 r2: 0.23932
Valid 2: 0.80519 	 r2: 0.28062
Train 3: 0.80590 	 r2: 0.28580
Valid 3: 0.81219 	 r2: 0.29568
Train 4: 0.81194 	 r2: 0.29859
Valid 4: 0.81610 	 r2: 0.30503
Train 5: 0.81691 	 r2: 0.30752
Valid 5: 0.81857 	 r2: 0.30988
Train 6: 0.81997 	 r2: 0.31327
Valid 6: 0.82075 	 r2: 0.31445
Train 7: 0.82250 	 r2: 0.31795
Valid 7: 0.82206 	 r2: 0.31666
Train 8: 0.82434 	 r2: 0.32127
Valid 8: 0.82276 	 r2: 0.31821
Train 9: 0.82591 	 r2: 0.32405
Valid 9: 0.82315 	 r2: 0.31887
Train 10: 0.82719 	 r2: 0.32631
Valid 10: 0.82354 	 r2: 0.31951
Train 11: 0.82846 	 r2: 0.32845
Valid 11: 0.82393 	 r2: 0.31990
Train 12: 0.82967 	 r2: 0.33053
Valid 12: 0.82437 	 r2: 0.32017
Train 13: 0.83074 	 r2: 0.33230
Valid 13: 0.82432 	 r2: 0.31997
Train 14: 0.83187 	 r2: 0.33422
Valid 14: 0.82428 	 r2: 0.31948
Train 15: 0.83279 	 r2: 0.33576
Valid 15: 0.82427 	 r2: 0.31915
Train 16: 0.83372 	 r2: 0.33722
Valid 16: 0.82391 	 r2: 0.31766
Train 17: 0.83468 	 r2: 0.33900
Valid 17: 0.82376 	 r2: 0.31767
Finish: (0.8243688255915939, 0.3201677174165417)
Test 18: 0.81664 	 r2: 0.30749
Train 1: 0.64814 	 r2: 0.06120
Valid 1: 0.77252 	 r2: 0.19762
Train 2: 0.79284 	 r2: 0.24976
Valid 2: 0.80842 	 r2: 0.28411
Train 3: 0.80742 	 r2: 0.28735
Valid 3: 0.81395 	 r2: 0.29874
Train 4: 0.81352 	 r2: 0.30063
Valid 4: 0.81750 	 r2: 0.30689
Train 5: 0.81717 	 r2: 0.30782
Valid 5: 0.81959 	 r2: 0.31083
Train 6: 0.82000 	 r2: 0.31324
Valid 6: 0.82098 	 r2: 0.31326
Train 7: 0.82258 	 r2: 0.31755
Valid 7: 0.82172 	 r2: 0.31522
Train 8: 0.82441 	 r2: 0.32118
Valid 8: 0.82259 	 r2: 0.31600
Train 9: 0.82623 	 r2: 0.32396
Valid 9: 0.82296 	 r2: 0.31761
Train 10: 0.82773 	 r2: 0.32660
Valid 10: 0.82320 	 r2: 0.31879
Train 11: 0.82938 	 r2: 0.32951
Valid 11: 0.82374 	 r2: 0.31960
Train 12: 0.83109 	 r2: 0.33245
Valid 12: 0.82373 	 r2: 0.31966
Train 13: 0.83244 	 r2: 0.33481
Valid 13: 0.82390 	 r2: 0.31988
Train 14: 0.83354 	 r2: 0.33674
Valid 14: 0.82389 	 r2: 0.31941
Train 15: 0.83449 	 r2: 0.33844
Valid 15: 0.82384 	 r2: 0.31933
Train 16: 0.83547 	 r2: 0.34015
Valid 16: 0.82372 	 r2: 0.31912
Train 17: 0.83599 	 r2: 0.34126
Valid 17: 0.82331 	 r2: 0.31834
Train 18: 0.83706 	 r2: 0.34309
Valid 18: 0.82329 	 r2: 0.31809
Finish: (0.8238983687023445, 0.3198792558059206)
Test 19: 0.81726 	 r2: 0.30842
Train 1: 0.64827 	 r2: 0.06053
Valid 1: 0.77450 	 r2: 0.20177
Train 2: 0.79403 	 r2: 0.25326
Valid 2: 0.80750 	 r2: 0.28386
Train 3: 0.80750 	 r2: 0.28850
Valid 3: 0.81120 	 r2: 0.29133
Train 4: 0.81379 	 r2: 0.30170
Valid 4: 0.81484 	 r2: 0.30196
Train 5: 0.81804 	 r2: 0.30971
Valid 5: 0.81736 	 r2: 0.30927
Train 6: 0.82105 	 r2: 0.31557
Valid 6: 0.81802 	 r2: 0.31121
Train 7: 0.82330 	 r2: 0.31949
Valid 7: 0.81831 	 r2: 0.31041
Train 8: 0.82526 	 r2: 0.32280
Valid 8: 0.81888 	 r2: 0.31122
Train 9: 0.82662 	 r2: 0.32499
Valid 9: 0.81932 	 r2: 0.31275
Train 10: 0.82826 	 r2: 0.32768
Valid 10: 0.81990 	 r2: 0.31398
Train 11: 0.82970 	 r2: 0.33010
Valid 11: 0.82015 	 r2: 0.31391
Train 12: 0.83094 	 r2: 0.33226
Valid 12: 0.82038 	 r2: 0.31404
Train 13: 0.83201 	 r2: 0.33417
Valid 13: 0.82040 	 r2: 0.31371
Train 14: 0.83315 	 r2: 0.33614
Valid 14: 0.82049 	 r2: 0.31362
Train 15: 0.83417 	 r2: 0.33785
Valid 15: 0.82040 	 r2: 0.31300
Train 16: 0.83515 	 r2: 0.33956
Valid 16: 0.82051 	 r2: 0.31321
Train 17: 0.83610 	 r2: 0.34134
Valid 17: 0.82079 	 r2: 0.31344
Train 18: 0.83705 	 r2: 0.34311
Valid 18: 0.82056 	 r2: 0.31268
Train 19: 0.83796 	 r2: 0.34474
Valid 19: 0.82037 	 r2: 0.31204
Train 20: 0.83873 	 r2: 0.34627
Valid 20: 0.81996 	 r2: 0.31106
Train 21: 0.83942 	 r2: 0.34757
Valid 21: 0.81963 	 r2: 0.31091
Train 22: 0.84022 	 r2: 0.34909
Valid 22: 0.81936 	 r2: 0.30960
Finish: (0.8207912772739485, 0.31344237731942004)
Test 23: 0.81535 	 r2: 0.30461
Train 1: 0.63815 	 r2: 0.05229
Valid 1: 0.75424 	 r2: 0.17230
Train 2: 0.78596 	 r2: 0.23655
Valid 2: 0.80379 	 r2: 0.27542
Train 3: 0.80520 	 r2: 0.28243
Valid 3: 0.81031 	 r2: 0.29248
Train 4: 0.81037 	 r2: 0.29477
Valid 4: 0.81225 	 r2: 0.29915
Train 5: 0.81517 	 r2: 0.30349
Valid 5: 0.81542 	 r2: 0.30575
Train 6: 0.81841 	 r2: 0.30965
Valid 6: 0.81738 	 r2: 0.30917
Train 7: 0.82079 	 r2: 0.31438
Valid 7: 0.81805 	 r2: 0.31024
Train 8: 0.82274 	 r2: 0.31816
Valid 8: 0.81934 	 r2: 0.31334
Train 9: 0.82444 	 r2: 0.32112
Valid 9: 0.81997 	 r2: 0.31395
Train 10: 0.82585 	 r2: 0.32345
Valid 10: 0.81996 	 r2: 0.31287
Train 11: 0.82629 	 r2: 0.32396
Valid 11: 0.82071 	 r2: 0.31541
Train 12: 0.82406 	 r2: 0.32075
Valid 12: 0.82029 	 r2: 0.31466
Train 13: 0.82779 	 r2: 0.32690
Valid 13: 0.82163 	 r2: 0.31702
Train 14: 0.82966 	 r2: 0.33043
Valid 14: 0.82200 	 r2: 0.31783
Train 15: 0.83089 	 r2: 0.33269
Valid 15: 0.82211 	 r2: 0.31644
Train 16: 0.83144 	 r2: 0.33375
Valid 16: 0.82240 	 r2: 0.31816
Train 17: 0.83265 	 r2: 0.33568
Valid 17: 0.82271 	 r2: 0.31852
Train 18: 0.83381 	 r2: 0.33767
Valid 18: 0.82285 	 r2: 0.31888
Train 19: 0.83453 	 r2: 0.33888
Valid 19: 0.82271 	 r2: 0.31821
Train 20: 0.83016 	 r2: 0.33169
Valid 20: 0.82069 	 r2: 0.31405
Train 21: 0.83407 	 r2: 0.33772
Valid 21: 0.82160 	 r2: 0.31601
Train 22: 0.83403 	 r2: 0.33729
Valid 22: 0.82106 	 r2: 0.31558
Train 23: 0.83616 	 r2: 0.34183
Valid 23: 0.82217 	 r2: 0.31696
