N: 1; d: 20
Valid 11: 0.72995 	 r2: 0.13135
Finish: (0.7319580387862203, 0.13464739447527918)
Test 12: 0.72875 	 r2: 0.13077
N: 1; d: 40
Train 1: 0.68500 	 r2: 0.08278
Valid 1: 0.72412 	 r2: 0.12346
Train 2: 0.72430 	 r2: 0.12561
Valid 2: 0.72994 	 r2: 0.13165
Train 3: 0.72984 	 r2: 0.13254
Valid 3: 0.73169 	 r2: 0.13420
Train 4: 0.73346 	 r2: 0.13713
Valid 4: 0.73194 	 r2: 0.13445
Train 5: 0.73626 	 r2: 0.14076
Valid 5: 0.73146 	 r2: 0.13395
Train 6: 0.73864 	 r2: 0.14387
Valid 6: 0.73115 	 r2: 0.13322
Train 7: 0.74104 	 r2: 0.14698
Valid 7: 0.73043 	 r2: 0.13229
Train 8: 0.74321 	 r2: 0.14991
Valid 8: 0.72919 	 r2: 0.13073
Train 9: 0.74523 	 r2: 0.15245
Valid 9: 0.72736 	 r2: 0.12854
Finish: (0.7319397725614423, 0.1344460029324145)
Test 10: 0.72831 	 r2: 0.13032
Train 1: 0.68303 	 r2: 0.08143
Valid 1: 0.72392 	 r2: 0.12475
Train 2: 0.72324 	 r2: 0.12417
Valid 2: 0.73005 	 r2: 0.13252
Train 3: 0.72933 	 r2: 0.13172
Valid 3: 0.73118 	 r2: 0.13405
Train 4: 0.73289 	 r2: 0.13629
Valid 4: 0.73156 	 r2: 0.13440
Train 5: 0.73586 	 r2: 0.14003
Valid 5: 0.73113 	 r2: 0.13371
Train 6: 0.73850 	 r2: 0.14341
Valid 6: 0.73013 	 r2: 0.13222
Train 7: 0.74089 	 r2: 0.14652
Valid 7: 0.72933 	 r2: 0.13115
Train 8: 0.74312 	 r2: 0.14943
Valid 8: 0.72777 	 r2: 0.12911
Train 9: 0.74525 	 r2: 0.15221
Valid 9: 0.72621 	 r2: 0.12716
Finish: (0.7315552299935908, 0.13439793343726125)
Test 10: 0.72802 	 r2: 0.12986
Train 1: 0.68446 	 r2: 0.08280
Valid 1: 0.72337 	 r2: 0.12343
Train 2: 0.72299 	 r2: 0.12409
Valid 2: 0.72987 	 r2: 0.13188
Train 3: 0.72943 	 r2: 0.13211
Valid 3: 0.73140 	 r2: 0.13378
Train 4: 0.73324 	 r2: 0.13698
Valid 4: 0.73146 	 r2: 0.13356
Train 5: 0.73620 	 r2: 0.14078
Valid 5: 0.73100 	 r2: 0.13279
Train 6: 0.73874 	 r2: 0.14404
Valid 6: 0.72939 	 r2: 0.13050
Train 7: 0.74107 	 r2: 0.14716
Valid 7: 0.72773 	 r2: 0.12771
Train 8: 0.74350 	 r2: 0.15037
Valid 8: 0.72594 	 r2: 0.12520
Train 9: 0.74568 	 r2: 0.15327
Valid 9: 0.72494 	 r2: 0.12348
Finish: (0.7314555053922529, 0.1335567526673771)
Test 10: 0.72872 	 r2: 0.13052
Train 1: 0.68544 	 r2: 0.08337
Valid 1: 0.72471 	 r2: 0.12517
Train 2: 0.72455 	 r2: 0.12589
Valid 2: 0.72963 	 r2: 0.13146
Train 3: 0.73020 	 r2: 0.13301
Valid 3: 0.73074 	 r2: 0.13363
Train 4: 0.73381 	 r2: 0.13770
Valid 4: 0.73084 	 r2: 0.13354
Train 5: 0.73668 	 r2: 0.14140
Valid 5: 0.73045 	 r2: 0.13276
Train 6: 0.73921 	 r2: 0.14465
Valid 6: 0.72971 	 r2: 0.13185
Train 7: 0.74159 	 r2: 0.14777
Valid 7: 0.72822 	 r2: 0.12939
Train 8: 0.74392 	 r2: 0.15078
Valid 8: 0.72693 	 r2: 0.12751
Train 9: 0.74601 	 r2: 0.15351
Valid 9: 0.72577 	 r2: 0.12546
Finish: (0.7308442512421817, 0.13354113810617618)
Test 10: 0.72773 	 r2: 0.12936
Train 1: 0.68600 	 r2: 0.08382
Valid 1: 0.72598 	 r2: 0.12651
Train 2: 0.72440 	 r2: 0.12559
Valid 2: 0.73000 	 r2: 0.13225
Train 3: 0.72980 	 r2: 0.13265
Valid 3: 0.73119 	 r2: 0.13365
Train 4: 0.73325 	 r2: 0.13704
Valid 4: 0.73138 	 r2: 0.13357
Train 5: 0.73600 	 r2: 0.14048
Valid 5: 0.73091 	 r2: 0.13264
Train 6: 0.73838 	 r2: 0.14352
Valid 6: 0.73017 	 r2: 0.13128
Train 7: 0.74055 	 r2: 0.14640
Valid 7: 0.72928 	 r2: 0.13024
Train 8: 0.74264 	 r2: 0.14919
Valid 8: 0.72789 	 r2: 0.12828
Train 9: 0.74485 	 r2: 0.15213
Valid 9: 0.72652 	 r2: 0.12641
Finish: (0.7313786091873303, 0.13357122908720376)
Test 10: 0.72899 	 r2: 0.13102
Train 1: 0.68472 	 r2: 0.08282
Valid 1: 0.72424 	 r2: 0.12445
Train 2: 0.72426 	 r2: 0.12558
Valid 2: 0.73035 	 r2: 0.13235
Train 3: 0.73008 	 r2: 0.13300
Valid 3: 0.73133 	 r2: 0.13390
Train 4: 0.73352 	 r2: 0.13750
Valid 4: 0.73110 	 r2: 0.13360
Train 5: 0.73626 	 r2: 0.14102
Valid 5: 0.73037 	 r2: 0.13254
Train 6: 0.73853 	 r2: 0.14396
Valid 6: 0.72942 	 r2: 0.13093
Train 7: 0.74069 	 r2: 0.14688
Valid 7: 0.72866 	 r2: 0.12951
Train 8: 0.74281 	 r2: 0.14959
Valid 8: 0.72760 	 r2: 0.12780
Finish: (0.7313339967163078, 0.13390334301794926)
Test 9: 0.72892 	 r2: 0.13079
N: 1; d: 80
Train 1: 0.69622 	 r2: 0.09454
Valid 1: 0.72750 	 r2: 0.12847
Train 2: 0.72686 	 r2: 0.12891
Valid 2: 0.73138 	 r2: 0.13381
Train 3: 0.73234 	 r2: 0.13579
Valid 3: 0.73157 	 r2: 0.13420
Train 4: 0.73650 	 r2: 0.14114
Valid 4: 0.72954 	 r2: 0.13128
Train 5: 0.74031 	 r2: 0.14612
Valid 5: 0.72699 	 r2: 0.12807
Train 6: 0.74434 	 r2: 0.15115
Valid 6: 0.72514 	 r2: 0.12520
Train 7: 0.74805 	 r2: 0.15590
Valid 7: 0.72339 	 r2: 0.12160
Train 8: 0.75223 	 r2: 0.16146
Valid 8: 0.72062 	 r2: 0.11666
Finish: (0.7315742710892067, 0.1342006293322181)
Test 9: 0.72876 	 r2: 0.13079
Train 1: 0.69578 	 r2: 0.09384
Valid 1: 0.72732 	 r2: 0.12843
Train 2: 0.72658 	 r2: 0.12835
Valid 2: 0.73054 	 r2: 0.13250
Train 3: 0.73173 	 r2: 0.13503
Valid 3: 0.73098 	 r2: 0.13315
Train 4: 0.73573 	 r2: 0.14029
Valid 4: 0.72994 	 r2: 0.13154
Train 5: 0.73908 	 r2: 0.14438
Valid 5: 0.72863 	 r2: 0.12999
Train 6: 0.74291 	 r2: 0.14938
Valid 6: 0.72671 	 r2: 0.12676
Train 7: 0.74715 	 r2: 0.15505
Valid 7: 0.72447 	 r2: 0.12283
Train 8: 0.75133 	 r2: 0.16067
Valid 8: 0.72111 	 r2: 0.11710
Finish: (0.7309782254534344, 0.1331536012715353)
Test 9: 0.72844 	 r2: 0.13031
Train 1: 0.69597 	 r2: 0.09432
Valid 1: 0.72725 	 r2: 0.12875
Train 2: 0.72648 	 r2: 0.12855
Valid 2: 0.73150 	 r2: 0.13413
Train 3: 0.73181 	 r2: 0.13530
Valid 3: 0.73167 	 r2: 0.13416
Train 4: 0.73569 	 r2: 0.14026
Valid 4: 0.73069 	 r2: 0.13273
Train 5: 0.73917 	 r2: 0.14475
Valid 5: 0.72904 	 r2: 0.12992
Train 6: 0.74277 	 r2: 0.14949
Valid 6: 0.72744 	 r2: 0.12764
Train 7: 0.74698 	 r2: 0.15482
Valid 7: 0.72506 	 r2: 0.12338
Train 8: 0.75084 	 r2: 0.16017
Valid 8: 0.72305 	 r2: 0.11952
Finish: (0.7316738716474352, 0.13415569079105905)
Test 9: 0.72841 	 r2: 0.13033
Train 1: 0.69517 	 r2: 0.09358
Valid 1: 0.72782 	 r2: 0.12849
Train 2: 0.72653 	 r2: 0.12853
Valid 2: 0.73048 	 r2: 0.13281
Train 3: 0.73190 	 r2: 0.13543
Valid 3: 0.73023 	 r2: 0.13242
Train 4: 0.73590 	 r2: 0.14055
Valid 4: 0.72960 	 r2: 0.13169
Train 5: 0.73976 	 r2: 0.14550
Valid 5: 0.72760 	 r2: 0.12924
Train 6: 0.74367 	 r2: 0.15048
Valid 6: 0.72497 	 r2: 0.12532
Train 7: 0.74724 	 r2: 0.15476
Valid 7: 0.72178 	 r2: 0.12043
Finish: (0.7304828639195559, 0.1328096218683925)
Test 8: 0.72825 	 r2: 0.13038
Train 1: 0.69507 	 r2: 0.09361
Valid 1: 0.72686 	 r2: 0.12738
Train 2: 0.72609 	 r2: 0.12795
Valid 2: 0.73104 	 r2: 0.13296
Train 3: 0.73176 	 r2: 0.13501
Valid 3: 0.73129 	 r2: 0.13366
Train 4: 0.73597 	 r2: 0.14045
Valid 4: 0.73035 	 r2: 0.13219
Train 5: 0.73970 	 r2: 0.14534
Valid 5: 0.72888 	 r2: 0.12991
Train 6: 0.74339 	 r2: 0.15019
Valid 6: 0.72711 	 r2: 0.12701
Train 7: 0.74749 	 r2: 0.15541
Valid 7: 0.72394 	 r2: 0.12247
Train 8: 0.75119 	 r2: 0.16012
Valid 8: 0.72066 	 r2: 0.11659
Finish: (0.7312916329650998, 0.1336593348320121)
Test 9: 0.72823 	 r2: 0.12998
Train 1: 0.69524 	 r2: 0.09380
Valid 1: 0.72685 	 r2: 0.12804
Train 2: 0.72640 	 r2: 0.12846
Valid 2: 0.73118 	 r2: 0.13250
Train 3: 0.73170 	 r2: 0.13519
Valid 3: 0.73211 	 r2: 0.13445
Train 4: 0.73573 	 r2: 0.14034
Valid 4: 0.73125 	 r2: 0.13336
Train 5: 0.73975 	 r2: 0.14553
Valid 5: 0.73030 	 r2: 0.13183
Train 6: 0.74356 	 r2: 0.15057
Valid 6: 0.72823 	 r2: 0.12867
Train 7: 0.74758 	 r2: 0.15600
Valid 7: 0.72466 	 r2: 0.12308
Train 8: 0.75115 	 r2: 0.16092
Valid 8: 0.72131 	 r2: 0.11800
Finish: (0.7321050343351965, 0.13445025889963746)
Test 9: 0.72938 	 r2: 0.13114
N: 1; d: 120
Train 1: 0.69960 	 r2: 0.09814
Valid 1: 0.72734 	 r2: 0.12843
Train 2: 0.72728 	 r2: 0.12951
Valid 2: 0.73088 	 r2: 0.13256
Train 3: 0.73259 	 r2: 0.13626
Valid 3: 0.73077 	 r2: 0.13267
Train 4: 0.73708 	 r2: 0.14200
Valid 4: 0.72894 	 r2: 0.12955
Train 5: 0.74164 	 r2: 0.14774
Valid 5: 0.72574 	 r2: 0.12450
Train 6: 0.74628 	 r2: 0.15361
Valid 6: 0.72166 	 r2: 0.11953
Train 7: 0.75119 	 r2: 0.16005
Valid 7: 0.71795 	 r2: 0.11378
Finish: (0.7308782585056615, 0.13255794215148897)
Test 8: 0.72788 	 r2: 0.12932
Train 1: 0.69799 	 r2: 0.09613
Valid 1: 0.72612 	 r2: 0.12723
Train 2: 0.72672 	 r2: 0.12865
