N: 20; d: 20
Valid 18: 0.82738 	 r2: 0.32451
Train 19: 0.83420 	 r2: 0.33736
Valid 19: 0.82754 	 r2: 0.32468
Finish: (0.8280614774519449, 0.32920357028234726)
Test 20: 0.82119 	 r2: 0.31566
Train 1: 0.66081 	 r2: 0.07480
Valid 1: 0.71986 	 r2: 0.13882
Train 2: 0.77523 	 r2: 0.23008
Valid 2: 0.80795 	 r2: 0.29460
Train 3: 0.80901 	 r2: 0.29488
Valid 3: 0.81572 	 r2: 0.30951
Train 4: 0.81480 	 r2: 0.30497
Valid 4: 0.81948 	 r2: 0.31560
Train 5: 0.81767 	 r2: 0.30979
Valid 5: 0.82127 	 r2: 0.31716
Train 6: 0.81987 	 r2: 0.31334
Valid 6: 0.82297 	 r2: 0.31958
Train 7: 0.82163 	 r2: 0.31626
Valid 7: 0.82401 	 r2: 0.32095
Train 8: 0.82317 	 r2: 0.31885
Valid 8: 0.82497 	 r2: 0.32252
Train 9: 0.82434 	 r2: 0.32083
Valid 9: 0.82546 	 r2: 0.32298
Train 10: 0.82538 	 r2: 0.32259
Valid 10: 0.82601 	 r2: 0.32362
Train 11: 0.82628 	 r2: 0.32407
Valid 11: 0.82647 	 r2: 0.32390
Train 12: 0.82731 	 r2: 0.32571
Valid 12: 0.82678 	 r2: 0.32408
Train 13: 0.82825 	 r2: 0.32726
Valid 13: 0.82725 	 r2: 0.32424
Train 14: 0.82927 	 r2: 0.32886
Valid 14: 0.82757 	 r2: 0.32483
Train 15: 0.83033 	 r2: 0.33061
Valid 15: 0.82833 	 r2: 0.32623
Train 16: 0.83130 	 r2: 0.33218
Valid 16: 0.82862 	 r2: 0.32636
Train 17: 0.83223 	 r2: 0.33367
Valid 17: 0.82892 	 r2: 0.32681
Train 18: 0.83313 	 r2: 0.33509
Valid 18: 0.82921 	 r2: 0.32723
Train 19: 0.83407 	 r2: 0.33665
Valid 19: 0.82960 	 r2: 0.32832
Train 20: 0.83498 	 r2: 0.33812
Valid 20: 0.82970 	 r2: 0.32863
Train 21: 0.83580 	 r2: 0.33947
Valid 21: 0.82990 	 r2: 0.32889
Train 22: 0.83653 	 r2: 0.34073
Valid 22: 0.82993 	 r2: 0.32893
Train 23: 0.83720 	 r2: 0.34186
Valid 23: 0.82993 	 r2: 0.32862
Train 24: 0.83783 	 r2: 0.34297
Valid 24: 0.82983 	 r2: 0.32850
Train 25: 0.83846 	 r2: 0.34409
Valid 25: 0.82978 	 r2: 0.32842
Train 26: 0.83903 	 r2: 0.34506
Valid 26: 0.82962 	 r2: 0.32825
Train 27: 0.83959 	 r2: 0.34601
Valid 27: 0.82959 	 r2: 0.32815
Train 28: 0.84021 	 r2: 0.34712
Valid 28: 0.82943 	 r2: 0.32784
Finish: (0.8299310594124754, 0.3286243712299103)
Test 29: 0.82404 	 r2: 0.31579
Train 1: 0.56687 	 r2: -0.08734
Valid 1: 0.67985 	 r2: 0.08608
Train 2: 0.69429 	 r2: 0.11210
Valid 2: 0.72713 	 r2: 0.15045
Train 3: 0.78030 	 r2: 0.23926
Valid 3: 0.80813 	 r2: 0.29456
Train 4: 0.80963 	 r2: 0.29583
Valid 4: 0.81695 	 r2: 0.31112
Train 5: 0.81577 	 r2: 0.30698
Valid 5: 0.81981 	 r2: 0.31519
Train 6: 0.81897 	 r2: 0.31227
Valid 6: 0.82213 	 r2: 0.31947
Train 7: 0.82092 	 r2: 0.31551
Valid 7: 0.82346 	 r2: 0.32146
Train 8: 0.82264 	 r2: 0.31841
Valid 8: 0.82464 	 r2: 0.32344
Train 9: 0.82393 	 r2: 0.32059
Valid 9: 0.82519 	 r2: 0.32432
Train 10: 0.82509 	 r2: 0.32259
Valid 10: 0.82562 	 r2: 0.32510
