N: 30; d: 60
Train 1: 0.75656 	 r2: 0.20591
Valid 1: 0.79529 	 r2: 0.27098
Train 2: 0.79241 	 r2: 0.26602
Valid 2: 0.80339 	 r2: 0.28636
Train 3: 0.80116 	 r2: 0.28283
Valid 3: 0.80903 	 r2: 0.29774
Train 4: 0.80741 	 r2: 0.29378
Valid 4: 0.81322 	 r2: 0.30546
Train 5: 0.81220 	 r2: 0.30189
Valid 5: 0.81698 	 r2: 0.31110
Train 6: 0.81617 	 r2: 0.30831
Valid 6: 0.81988 	 r2: 0.31588
Train 7: 0.81973 	 r2: 0.31387
Valid 7: 0.82157 	 r2: 0.31854
Train 8: 0.82219 	 r2: 0.31788
Valid 8: 0.82290 	 r2: 0.32062
Train 9: 0.82444 	 r2: 0.32161
Valid 9: 0.82387 	 r2: 0.32200
Train 10: 0.82635 	 r2: 0.32475
Valid 10: 0.82440 	 r2: 0.32257
Train 11: 0.82761 	 r2: 0.32694
Valid 11: 0.82456 	 r2: 0.32249
Train 12: 0.82891 	 r2: 0.32926
Valid 12: 0.82479 	 r2: 0.32274
Train 13: 0.82994 	 r2: 0.33107
Valid 13: 0.82468 	 r2: 0.32255
Train 14: 0.83117 	 r2: 0.33321
Valid 14: 0.82488 	 r2: 0.32233
Train 15: 0.83224 	 r2: 0.33509
Valid 15: 0.82502 	 r2: 0.32227
Train 16: 0.83301 	 r2: 0.33653
Valid 16: 0.82483 	 r2: 0.32189
Train 17: 0.83375 	 r2: 0.33796
Valid 17: 0.82506 	 r2: 0.32195
Train 18: 0.83470 	 r2: 0.33964
Valid 18: 0.82463 	 r2: 0.32078
Train 19: 0.83535 	 r2: 0.34079
Valid 19: 0.82372 	 r2: 0.31954
Train 20: 0.83593 	 r2: 0.34198
Valid 20: 0.82405 	 r2: 0.31983
Train 21: 0.83673 	 r2: 0.34334
Valid 21: 0.82376 	 r2: 0.31899
Train 22: 0.83743 	 r2: 0.34481
Valid 22: 0.82375 	 r2: 0.31808
Finish: (0.8250648116154721, 0.32195478019561996)
Test 23: 0.81765 	 r2: 0.30828
