N: 30; d: 60
Train 1: 0.66232 	 r2: 0.08528
Valid 1: 0.78511 	 r2: 0.24127
Train 2: 0.79208 	 r2: 0.26482
Valid 2: 0.81021 	 r2: 0.29968
Train 3: 0.80870 	 r2: 0.29454
Valid 3: 0.81881 	 r2: 0.31461
Train 4: 0.81465 	 r2: 0.30537
Valid 4: 0.82131 	 r2: 0.32045
Train 5: 0.81810 	 r2: 0.31132
Valid 5: 0.82270 	 r2: 0.32215
Train 6: 0.82076 	 r2: 0.31559
Valid 6: 0.82429 	 r2: 0.32272
Train 7: 0.82312 	 r2: 0.31931
Valid 7: 0.82536 	 r2: 0.32408
Train 8: 0.82530 	 r2: 0.32294
Valid 8: 0.82665 	 r2: 0.32612
Train 9: 0.82731 	 r2: 0.32618
Valid 9: 0.82733 	 r2: 0.32840
Train 10: 0.82881 	 r2: 0.32861
Valid 10: 0.82795 	 r2: 0.32853
Train 11: 0.83015 	 r2: 0.33074
Valid 11: 0.82823 	 r2: 0.32879
Train 12: 0.83115 	 r2: 0.33230
Valid 12: 0.82831 	 r2: 0.32715
Train 13: 0.83219 	 r2: 0.33393
Valid 13: 0.82836 	 r2: 0.32695
Train 14: 0.83349 	 r2: 0.33598
Valid 14: 0.82815 	 r2: 0.32595
Train 15: 0.83478 	 r2: 0.33821
Valid 15: 0.82826 	 r2: 0.32661
Train 16: 0.83619 	 r2: 0.34056
Valid 16: 0.82793 	 r2: 0.32682
Train 17: 0.83741 	 r2: 0.34245
Valid 17: 0.82774 	 r2: 0.32639
Train 18: 0.83872 	 r2: 0.34466
Valid 18: 0.82772 	 r2: 0.32620
Finish: (0.8283620215469958, 0.32694761375587644)
Test 19: 0.82420 	 r2: 0.31841
