N: 20; d: 20
Valid 2: 0.76377 	 r2: 0.17189
Train 3: 0.80011 	 r2: 0.22145
Valid 3: 0.77726 	 r2: 0.18633
Train 4: 0.81697 	 r2: 0.24671
Valid 4: 0.79632 	 r2: 0.20333
Train 5: 0.82787 	 r2: 0.26341
Valid 5: 0.80891 	 r2: 0.22401
Train 6: 0.83580 	 r2: 0.27598
Valid 6: 0.81454 	 r2: 0.24113
Train 7: 0.84308 	 r2: 0.28965
Valid 7: 0.81841 	 r2: 0.24874
Train 8: 0.84803 	 r2: 0.29972
Valid 8: 0.82039 	 r2: 0.25175
Train 9: 0.85189 	 r2: 0.30794
Valid 9: 0.82099 	 r2: 0.25162
Train 10: 0.85492 	 r2: 0.31439
Valid 10: 0.82121 	 r2: 0.25246
Train 11: 0.85720 	 r2: 0.31918
Valid 11: 0.82087 	 r2: 0.25320
Train 12: 0.85799 	 r2: 0.32070
Valid 12: 0.81880 	 r2: 0.24106
Train 13: 0.85704 	 r2: 0.31910
Valid 13: 0.82037 	 r2: 0.25170
Train 14: 0.85858 	 r2: 0.32196
Valid 14: 0.81799 	 r2: 0.24412
Train 15: 0.85844 	 r2: 0.32103
Valid 15: 0.81827 	 r2: 0.24582
Finish: (0.8212057239313921, 0.2524590400237845)
Test 16: 0.83426 	 r2: 0.26834
Train 1: 0.66606 	 r2: 0.02481
Valid 1: 0.75660 	 r2: 0.16091
Train 2: 0.78686 	 r2: 0.20302
Valid 2: 0.76137 	 r2: 0.16309
Train 3: 0.79467 	 r2: 0.21327
Valid 3: 0.76467 	 r2: 0.17280
Train 4: 0.80091 	 r2: 0.22277
Valid 4: 0.77346 	 r2: 0.18415
Train 5: 0.81225 	 r2: 0.23940
Valid 5: 0.78828 	 r2: 0.20193
Train 6: 0.82531 	 r2: 0.25943
Valid 6: 0.80579 	 r2: 0.22030
Train 7: 0.83542 	 r2: 0.27587
Valid 7: 0.81625 	 r2: 0.24564
Train 8: 0.84481 	 r2: 0.29419
Valid 8: 0.81937 	 r2: 0.24992
Train 9: 0.84932 	 r2: 0.30372
Valid 9: 0.81985 	 r2: 0.25123
Train 10: 0.85197 	 r2: 0.30938
Valid 10: 0.81904 	 r2: 0.24979
Train 11: 0.85281 	 r2: 0.31083
Valid 11: 0.81612 	 r2: 0.24565
Train 12: 0.85513 	 r2: 0.31644
Valid 12: 0.81706 	 r2: 0.24791
Train 13: 0.85761 	 r2: 0.32187
Valid 13: 0.81710 	 r2: 0.24690
Train 14: 0.85929 	 r2: 0.32580
Valid 14: 0.81678 	 r2: 0.24526
Finish: (0.819850608094112, 0.2512341999703357)
Test 15: 0.83389 	 r2: 0.26834
N: 20; d: 40
Train 1: 0.71970 	 r2: 0.11106
Valid 1: 0.75997 	 r2: 0.14237
Train 2: 0.78763 	 r2: 0.20295
Valid 2: 0.76824 	 r2: 0.17358
Train 3: 0.80923 	 r2: 0.23265
Valid 3: 0.79815 	 r2: 0.20539
Train 4: 0.82700 	 r2: 0.26058
Valid 4: 0.81182 	 r2: 0.22709
Train 5: 0.83636 	 r2: 0.27575
Valid 5: 0.81597 	 r2: 0.23465
Train 6: 0.84251 	 r2: 0.28770
Valid 6: 0.81837 	 r2: 0.23962
Train 7: 0.84768 	 r2: 0.29844
Valid 7: 0.81960 	 r2: 0.24433
Train 8: 0.85236 	 r2: 0.30841
Valid 8: 0.82027 	 r2: 0.24658
Train 9: 0.85599 	 r2: 0.31661
Valid 9: 0.82097 	 r2: 0.24860
Train 10: 0.85901 	 r2: 0.32341
Valid 10: 0.82093 	 r2: 0.24857
Train 11: 0.86134 	 r2: 0.32878
Valid 11: 0.82060 	 r2: 0.24733
