N: 20; d: 20
Valid 3: 0.79259 	 r2: 0.26614
Train 4: 0.79013 	 r2: 0.26152
Valid 4: 0.79767 	 r2: 0.27591
Train 5: 0.79574 	 r2: 0.27229
Valid 5: 0.80327 	 r2: 0.28581
Train 6: 0.80185 	 r2: 0.28314
Valid 6: 0.80805 	 r2: 0.29518
Train 7: 0.80666 	 r2: 0.29185
Valid 7: 0.81118 	 r2: 0.30130
Train 8: 0.80989 	 r2: 0.29733
Valid 8: 0.81363 	 r2: 0.30577
Train 9: 0.81229 	 r2: 0.30150
Valid 9: 0.81536 	 r2: 0.30897
Train 10: 0.81423 	 r2: 0.30476
Valid 10: 0.81706 	 r2: 0.31176
Train 11: 0.81570 	 r2: 0.30719
Valid 11: 0.81821 	 r2: 0.31375
Train 12: 0.81705 	 r2: 0.30939
Valid 12: 0.81905 	 r2: 0.31517
Train 13: 0.81818 	 r2: 0.31132
Valid 13: 0.81967 	 r2: 0.31622
Train 14: 0.81916 	 r2: 0.31296
Valid 14: 0.82008 	 r2: 0.31691
Train 15: 0.82002 	 r2: 0.31448
Valid 15: 0.82053 	 r2: 0.31757
Train 16: 0.82082 	 r2: 0.31578
Valid 16: 0.82073 	 r2: 0.31782
Train 17: 0.82153 	 r2: 0.31697
Valid 17: 0.82115 	 r2: 0.31845
Train 18: 0.82226 	 r2: 0.31823
Valid 18: 0.82131 	 r2: 0.31852
Train 19: 0.82289 	 r2: 0.31930
Valid 19: 0.82131 	 r2: 0.31853
Train 20: 0.82345 	 r2: 0.32031
Valid 20: 0.82137 	 r2: 0.31855
Train 21: 0.82398 	 r2: 0.32123
Valid 21: 0.82157 	 r2: 0.31875
Train 22: 0.82442 	 r2: 0.32210
Valid 22: 0.82171 	 r2: 0.31881
Train 23: 0.82490 	 r2: 0.32302
Valid 23: 0.82174 	 r2: 0.31875
Train 24: 0.82538 	 r2: 0.32382
Valid 24: 0.82183 	 r2: 0.31872
Train 25: 0.82576 	 r2: 0.32457
Valid 25: 0.82198 	 r2: 0.31906
Train 26: 0.82618 	 r2: 0.32531
Valid 26: 0.82196 	 r2: 0.31886
Train 27: 0.82660 	 r2: 0.32607
Valid 27: 0.82202 	 r2: 0.31897
Train 28: 0.82715 	 r2: 0.32702
Valid 28: 0.82196 	 r2: 0.31872
Train 29: 0.82740 	 r2: 0.32748
Valid 29: 0.82197 	 r2: 0.31859
Train 30: 0.82780 	 r2: 0.32816
Valid 30: 0.82197 	 r2: 0.31855
Train 31: 0.82817 	 r2: 0.32885
Valid 31: 0.82197 	 r2: 0.31839
Train 32: 0.82862 	 r2: 0.32965
Valid 32: 0.82196 	 r2: 0.31833
