N: 20; d: 20
Train 1: 0.69248 	 r2: 0.08962
Valid 1: 0.72479 	 r2: 0.12339
Train 2: 0.72472 	 r2: 0.12630
Valid 2: 0.73405 	 r2: 0.13715
Train 3: 0.72948 	 r2: 0.13241
Valid 3: 0.73533 	 r2: 0.13893
Train 4: 0.73158 	 r2: 0.13513
Valid 4: 0.73641 	 r2: 0.14027
Train 5: 0.73314 	 r2: 0.13716
Valid 5: 0.73690 	 r2: 0.14095
Train 6: 0.73447 	 r2: 0.13884
Valid 6: 0.73736 	 r2: 0.14150
Train 7: 0.73554 	 r2: 0.14019
Valid 7: 0.73763 	 r2: 0.14188
Train 8: 0.73645 	 r2: 0.14135
Valid 8: 0.73767 	 r2: 0.14193
Train 9: 0.73718 	 r2: 0.14233
Valid 9: 0.73758 	 r2: 0.14183
Train 10: 0.73793 	 r2: 0.14331
Valid 10: 0.73735 	 r2: 0.14150
Train 11: 0.73860 	 r2: 0.14420
Valid 11: 0.73714 	 r2: 0.14132
Train 12: 0.73935 	 r2: 0.14518
Valid 12: 0.73690 	 r2: 0.14093
Train 13: 0.73999 	 r2: 0.14603
Valid 13: 0.73657 	 r2: 0.14047
Finish: (0.7376680071443219, 0.14192967607759255)
Test 14: 0.73427 	 r2: 0.13750
Train 1: 0.68611 	 r2: 0.07284
Valid 1: 0.72102 	 r2: 0.11954
Train 2: 0.72340 	 r2: 0.12508
Valid 2: 0.73339 	 r2: 0.13645
Train 3: 0.72838 	 r2: 0.13109
Valid 3: 0.73486 	 r2: 0.13835
Train 4: 0.73029 	 r2: 0.13353
Valid 4: 0.73559 	 r2: 0.13935
Train 5: 0.73167 	 r2: 0.13533
Valid 5: 0.73619 	 r2: 0.14017
Train 6: 0.73282 	 r2: 0.13683
Valid 6: 0.73663 	 r2: 0.14073
Train 7: 0.73381 	 r2: 0.13817
Valid 7: 0.73682 	 r2: 0.14100
Train 8: 0.73464 	 r2: 0.13931
Valid 8: 0.73689 	 r2: 0.14103
Train 9: 0.73543 	 r2: 0.14033
Valid 9: 0.73702 	 r2: 0.14126
Train 10: 0.73621 	 r2: 0.14136
Valid 10: 0.73699 	 r2: 0.14122
Train 11: 0.73694 	 r2: 0.14232
