N: 20; d: 20
Train 1: 0.67634 	 r2: 0.07879
Valid 1: 0.70351 	 r2: 0.10072
Train 2: 0.70645 	 r2: 0.10767
Valid 2: 0.71828 	 r2: 0.11720
Train 3: 0.71800 	 r2: 0.11973
Valid 3: 0.72433 	 r2: 0.12300
Train 4: 0.72242 	 r2: 0.12459
Valid 4: 0.72632 	 r2: 0.12555
Train 5: 0.72452 	 r2: 0.12704
Valid 5: 0.72730 	 r2: 0.12629
Train 6: 0.72592 	 r2: 0.12868
Valid 6: 0.72745 	 r2: 0.12656
Train 7: 0.72699 	 r2: 0.12989
Valid 7: 0.72776 	 r2: 0.12700
Train 8: 0.72788 	 r2: 0.13097
Valid 8: 0.72835 	 r2: 0.12733
Train 9: 0.72871 	 r2: 0.13199
Valid 9: 0.72856 	 r2: 0.12754
Train 10: 0.72940 	 r2: 0.13281
Valid 10: 0.72860 	 r2: 0.12756
Train 11: 0.73004 	 r2: 0.13359
Valid 11: 0.72866 	 r2: 0.12782
Train 12: 0.73063 	 r2: 0.13432
Valid 12: 0.72895 	 r2: 0.12842
Train 13: 0.73119 	 r2: 0.13499
Valid 13: 0.72922 	 r2: 0.12904
Train 14: 0.73175 	 r2: 0.13571
Valid 14: 0.72904 	 r2: 0.12921
Train 15: 0.73225 	 r2: 0.13632
Valid 15: 0.72905 	 r2: 0.12949
Train 16: 0.73275 	 r2: 0.13694
Valid 16: 0.72868 	 r2: 0.12902
Train 17: 0.73319 	 r2: 0.13747
Valid 17: 0.72864 	 r2: 0.12915
Train 18: 0.73367 	 r2: 0.13799
Valid 18: 0.72863 	 r2: 0.12942
Finish: (0.7292185543670362, 0.12903727554564948)
Test 19: 0.72634 	 r2: 0.12567
Train 1: 0.65101 	 r2: 0.02492
Valid 1: 0.69302 	 r2: 0.09482
Train 2: 0.69263 	 r2: 0.09438
Valid 2: 0.70421 	 r2: 0.10311
Train 3: 0.70872 	 r2: 0.11030
Valid 3: 0.71987 	 r2: 0.11865
Train 4: 0.71813 	 r2: 0.11975
Valid 4: 0.72461 	 r2: 0.12383
Train 5: 0.72149 	 r2: 0.12349
Valid 5: 0.72609 	 r2: 0.12557
Train 6: 0.72316 	 r2: 0.12542
Valid 6: 0.72756 	 r2: 0.12730
Train 7: 0.72443 	 r2: 0.12683
Valid 7: 0.72810 	 r2: 0.12775
Train 8: 0.72542 	 r2: 0.12804
Valid 8: 0.72851 	 r2: 0.12801
Train 9: 0.72627 	 r2: 0.12908
Valid 9: 0.72896 	 r2: 0.12875
Train 10: 0.72721 	 r2: 0.13017
Valid 10: 0.72905 	 r2: 0.12853
